tab,cell,row,col,value,field_type,formula
MF Lease Up,K20,20,K,0.0,user_entry,
MF Lease Up,L20,20,L,0.0,user_entry,
MF Lease Up,M20,20,M,0.0,user_entry,
MF Lease Up,N20,20,N,0.0,user_entry,
MF Lease Up,O20,20,O,0.0,user_entry,
MF Lease Up,P20,20,P,0.0,user_entry,
MF Lease Up,B21,21,B,1.0,user_entry,
MF Lease Up,C21,21,C,Auto,user_entry,
MF Lease Up,F21,21,F,5.0,user_entry,
MF Lease Up,G21,21,G,0.16666666666666666,user_entry,
MF Lease Up,H21,21,H,0.0,user_entry,
MF Lease Up,I21,21,I,0.0,user_entry,
MF Lease Up,J21,21,J,0.8333333333333333,user_entry,
MF Lease Up,K21,21,K,0.0,user_entry,
MF Lease Up,L21,21,L,0.0,user_entry,
MF Lease Up,M21,21,M,0.0,user_entry,
MF Lease Up,N21,21,N,0.0,user_entry,
MF Lease Up,O21,21,O,0.0,user_entry,
MF Lease Up,P21,21,P,0.0,user_entry,
MF Lease Up,B22,22,B,1.0,user_entry,
MF Lease Up,C22,22,C,Auto,user_entry,
MF Lease Up,F22,22,F,6.0,user_entry,
MF Lease Up,G22,22,G,0.20833333333333331,user_entry,
MF Lease Up,H22,22,H,0.0,user_entry,
MF Lease Up,I22,22,I,0.0,user_entry,
MF Lease Up,J22,22,J,0.8416666666666666,user_entry,
MF Lease Up,K22,22,K,0.0,user_entry,
MF Lease Up,L22,22,L,0.0,user_entry,
MF Lease Up,M22,22,M,0.0,user_entry,
MF Lease Up,N22,22,N,0.0,user_entry,
MF Lease Up,O22,22,O,0.0,user_entry,
MF Lease Up,P22,22,P,0.0,user_entry,
MF Lease Up,B23,23,B,1.0,user_entry,
MF Lease Up,C23,23,C,Auto,user_entry,
MF Lease Up,F23,23,F,7.0,user_entry,
MF Lease Up,G23,23,G,0.24999999999999997,user_entry,
MF Lease Up,H23,23,H,0.0,user_entry,
MF Lease Up,I23,23,I,0.0,user_entry,
MF Lease Up,J23,23,J,0.8499999999999999,user_entry,
MF Lease Up,K23,23,K,0.0,user_entry,
MF Lease Up,L23,23,L,0.0,user_entry,
MF Lease Up,M23,23,M,0.0,user_entry,
MF Lease Up,N23,23,N,0.0,user_entry,
MF Lease Up,O23,23,O,0.0,user_entry,
MF Lease Up,P23,23,P,0.0,user_entry,
MF Lease Up,B24,24,B,1.0,user_entry,
MF Lease Up,C24,24,C,Auto,user_entry,
MF Lease Up,F24,24,F,8.0,user_entry,
MF Lease Up,G24,24,G,0.29166666666666663,user_entry,
MF Lease Up,H24,24,H,0.0,user_entry,
MF Lease Up,I24,24,I,0.0,user_entry,
MF Lease Up,J24,24,J,0.8583333333333332,user_entry,
MF Lease Up,K24,24,K,0.0,user_entry,
MF Lease Up,L24,24,L,0.0,user_entry,
MF Lease Up,M24,24,M,0.0,user_entry,
MF Lease Up,N24,24,N,0.0,user_entry,
MF Lease Up,O24,24,O,0.0,user_entry,
MF Lease Up,P24,24,P,0.0,user_entry,
MF Lease Up,B25,25,B,1.0,user_entry,
MF Lease Up,C25,25,C,Auto,user_entry,
MF Lease Up,F25,25,F,9.0,user_entry,
MF Lease Up,G25,25,G,0.3333333333333333,user_entry,
MF Lease Up,H25,25,H,0.0,user_entry,
MF Lease Up,I25,25,I,0.0,user_entry,
MF Lease Up,J25,25,J,0.8666666666666665,user_entry,
MF Lease Up,K25,25,K,0.0,user_entry,
MF Lease Up,L25,25,L,0.0,user_entry,
MF Lease Up,M25,25,M,0.0,user_entry,
MF Lease Up,N25,25,N,0.0,user_entry,
MF Lease Up,O25,25,O,0.0,user_entry,
MF Lease Up,P25,25,P,0.0,user_entry,
MF Lease Up,B26,26,B,1.0,user_entry,
MF Lease Up,C26,26,C,Auto,user_entry,
MF Lease Up,F26,26,F,10.0,user_entry,
MF Lease Up,G26,26,G,0.375,user_entry,
MF Lease Up,H26,26,H,0.0,user_entry,
MF Lease Up,I26,26,I,0.0,user_entry,
MF Lease Up,J26,26,J,0.8749999999999998,user_entry,
MF Lease Up,K26,26,K,0.0,user_entry,
MF Lease Up,L26,26,L,0.0,user_entry,
MF Lease Up,M26,26,M,0.0,user_entry,
MF Lease Up,N26,26,N,0.0,user_entry,
MF Lease Up,O26,26,O,0.0,user_entry,
MF Lease Up,P26,26,P,0.0,user_entry,
MF Lease Up,B27,27,B,1.0,user_entry,
MF Lease Up,C27,27,C,Auto,user_entry,
MF Lease Up,F27,27,F,11.0,user_entry,
MF Lease Up,G27,27,G,0.4166666666666667,user_entry,
MF Lease Up,H27,27,H,0.0,user_entry,
MF Lease Up,I27,27,I,0.0,user_entry,
MF Lease Up,J27,27,J,0.8833333333333331,user_entry,
MF Lease Up,K27,27,K,0.0,user_entry,
MF Lease Up,L27,27,L,0.0,user_entry,
MF Lease Up,M27,27,M,0.0,user_entry,
MF Lease Up,N27,27,N,0.0,user_entry,
MF Lease Up,O27,27,O,0.0,user_entry,
MF Lease Up,P27,27,P,0.0,user_entry,
MF Lease Up,B28,28,B,1.0,user_entry,
MF Lease Up,C28,28,C,Auto,user_entry,
MF Lease Up,F28,28,F,12.0,user_entry,
MF Lease Up,G28,28,G,0.45833333333333337,user_entry,
MF Lease Up,H28,28,H,0.0,user_entry,
MF Lease Up,I28,28,I,0.0,user_entry,
MF Lease Up,J28,28,J,0.8916666666666664,user_entry,
MF Lease Up,K28,28,K,0.0,user_entry,
MF Lease Up,L28,28,L,0.0,user_entry,
MF Lease Up,M28,28,M,0.0,user_entry,
MF Lease Up,N28,28,N,0.0,user_entry,
MF Lease Up,O28,28,O,0.0,user_entry,
MF Lease Up,P28,28,P,0.0,user_entry,
MF Lease Up,B29,29,B,1.0,user_entry,
MF Lease Up,C29,29,C,Auto,user_entry,
MF Lease Up,F29,29,F,13.0,user_entry,
MF Lease Up,G29,29,G,0.5,user_entry,
MF Lease Up,H29,29,H,0.0,user_entry,
MF Lease Up,I29,29,I,0.0,user_entry,
MF Lease Up,J29,29,J,0.8999999999999997,user_entry,
MF Lease Up,K29,29,K,0.0,user_entry,
MF Lease Up,L29,29,L,0.0,user_entry,
MF Lease Up,M29,29,M,0.0,user_entry,
MF Lease Up,N29,29,N,0.0,user_entry,
MF Lease Up,O29,29,O,0.0,user_entry,
MF Lease Up,P29,29,P,0.0,user_entry,
MF Lease Up,B30,30,B,1.0,user_entry,
MF Lease Up,C30,30,C,Auto,user_entry,
MF Lease Up,F30,30,F,14.0,user_entry,
MF Lease Up,G30,30,G,0.5416666666666666,user_entry,
MF Lease Up,H30,30,H,0.0,user_entry,
MF Lease Up,I30,30,I,0.0,user_entry,
MF Lease Up,J30,30,J,0.908333333333333,user_entry,
MF Lease Up,K30,30,K,0.0,user_entry,
MF Lease Up,L30,30,L,0.0,user_entry,
MF Lease Up,M30,30,M,0.0,user_entry,
MF Lease Up,N30,30,N,0.0,user_entry,
MF Lease Up,O30,30,O,0.0,user_entry,
MF Lease Up,P30,30,P,0.0,user_entry,
MF Lease Up,B31,31,B,1.0,user_entry,
MF Lease Up,C31,31,C,Auto,user_entry,
MF Lease Up,F31,31,F,15.0,user_entry,
MF Lease Up,G31,31,G,0.5833333333333333,user_entry,
MF Lease Up,H31,31,H,0.0,user_entry,
MF Lease Up,I31,31,I,0.0,user_entry,
MF Lease Up,J31,31,J,0.9166666666666663,user_entry,
MF Lease Up,K31,31,K,0.0,user_entry,
MF Lease Up,L31,31,L,0.0,user_entry,
MF Lease Up,M31,31,M,0.0,user_entry,
MF Lease Up,N31,31,N,0.0,user_entry,
MF Lease Up,O31,31,O,0.0,user_entry,
MF Lease Up,P31,31,P,0.0,user_entry,
MF Lease Up,B32,32,B,1.0,user_entry,
MF Lease Up,C32,32,C,Auto,user_entry,
MF Lease Up,F32,32,F,16.0,user_entry,
MF Lease Up,G32,32,G,0.6249999999999999,user_entry,
MF Lease Up,H32,32,H,0.0,user_entry,
MF Lease Up,I32,32,I,0.0,user_entry,
MF Lease Up,J32,32,J,0.9249999999999996,user_entry,
MF Lease Up,K32,32,K,0.0,user_entry,
MF Lease Up,L32,32,L,0.0,user_entry,
MF Lease Up,M32,32,M,0.0,user_entry,
MF Lease Up,N32,32,N,0.0,user_entry,
MF Lease Up,O32,32,O,0.0,user_entry,
MF Lease Up,P32,32,P,0.0,user_entry,
MF Lease Up,B33,33,B,1.0,user_entry,
MF Lease Up,C33,33,C,Auto,user_entry,
MF Lease Up,F33,33,F,17.0,user_entry,
MF Lease Up,G33,33,G,0.6666666666666665,user_entry,
MF Lease Up,H33,33,H,0.0,user_entry,
MF Lease Up,I33,33,I,0.0,user_entry,
MF Lease Up,J33,33,J,0.9333333333333329,user_entry,
MF Lease Up,K33,33,K,0.0,user_entry,
MF Lease Up,L33,33,L,0.0,user_entry,
MF Lease Up,M33,33,M,0.0,user_entry,
MF Lease Up,N33,33,N,0.0,user_entry,
MF Lease Up,O33,33,O,0.0,user_entry,
MF Lease Up,P33,33,P,0.0,user_entry,
MF Lease Up,B34,34,B,1.0,user_entry,
MF Lease Up,C34,34,C,Auto,user_entry,
