tab,cell,row,col,value,field_type,formula
Rent Comp Profiles,AG30,30,AG,0x2a,user_entry,
Rent Comp Profiles,H31,31,H,VeryHidden,user_entry,
Rent Comp Profiles,K31,31,K,29.0,user_entry,
Rent Comp Profiles,AA31,31,AA,0x2a,user_entry,
Rent Comp Profiles,AG31,31,AG,0x2a,user_entry,
Rent Comp Profiles,H32,32,H,VeryHidden,user_entry,
Rent Comp Profiles,K32,32,K,30.0,user_entry,
Rent Comp Profiles,AA32,32,AA,0x2a,user_entry,
Rent Comp Profiles,AG32,32,AG,0x2a,user_entry,
Rent Comp Profiles,H33,33,H,VeryHidden,user_entry,
Rent Comp Profiles,K33,33,K,31.0,user_entry,
Rent Comp Profiles,AA33,33,AA,0x2a,user_entry,
Rent Comp Profiles,AG33,33,AG,0x2a,user_entry,
Rent Comp Profiles,H34,34,H,VeryHidden,user_entry,
Rent Comp Profiles,K34,34,K,32.0,user_entry,
Rent Comp Profiles,AA34,34,AA,0x2a,user_entry,
Rent Comp Profiles,AG34,34,AG,0x2a,user_entry,
Rent Comp Profiles,H35,35,H,VeryHidden,user_entry,
Rent Comp Profiles,K35,35,K,33.0,user_entry,
Rent Comp Profiles,AA35,35,AA,0x2a,user_entry,
Rent Comp Profiles,AG35,35,AG,0x2a,user_entry,
Rent Comp Profiles,H36,36,H,VeryHidden,user_entry,
Rent Comp Profiles,K36,36,K,34.0,user_entry,
Rent Comp Profiles,AA36,36,AA,0x2a,user_entry,
Rent Comp Profiles,AG36,36,AG,0x2a,user_entry,
Rent Comp Profiles,H37,37,H,VeryHidden,user_entry,
Rent Comp Profiles,K37,37,K,35.0,user_entry,
Rent Comp Profiles,AA37,37,AA,0x2a,user_entry,
Rent Comp Profiles,AG37,37,AG,0x2a,user_entry,
Rent Comp Profiles,H38,38,H,VeryHidden,user_entry,
Rent Comp Profiles,K38,38,K,36.0,user_entry,
Rent Comp Profiles,H39,39,H,VeryHidden,user_entry,
Rent Comp Profiles,K39,39,K,37.0,user_entry,
Rent Comp Profiles,H40,40,H,VeryHidden,user_entry,
Rent Comp Profiles,K40,40,K,38.0,user_entry,
Rent Comp Profiles,L40,40,L,Utilities Paid By Owner,user_entry,
Rent Comp Profiles,Y40,40,Y,Utilities Paid by Owner,user_entry,
Rent Comp Profiles,H41,41,H,VeryHidden,user_entry,
Rent Comp Profiles,K41,41,K,39.0,user_entry,
Rent Comp Profiles,H42,42,H,VeryHidden,user_entry,
Rent Comp Profiles,K42,42,K,40.0,user_entry,
Rent Comp Profiles,H43,43,H,VeryHidden,user_entry,
Rent Comp Profiles,K43,43,K,41.0,user_entry,
Rent Comp Profiles,L43,43,L,Multifamily Project Amenities,user_entry,
Rent Comp Profiles,Y43,43,Y,Project Amenities,user_entry,
Rent Comp Profiles,H44,44,H,VeryHidden,user_entry,
Rent Comp Profiles,K44,44,K,42.0,user_entry,
Rent Comp Profiles,H45,45,H,VeryHidden,user_entry,
Rent Comp Profiles,K45,45,K,43.0,user_entry,
Rent Comp Profiles,H46,46,H,VeryHidden,user_entry,
Rent Comp Profiles,K46,46,K,44.0,user_entry,
Rent Comp Profiles,L46,46,L,Multifamily Unit Amenities,user_entry,
Rent Comp Profiles,Y46,46,Y,Unit Features,user_entry,
Rent Comp Profiles,H47,47,H,VeryHidden,user_entry,
Rent Comp Profiles,K47,47,K,45.0,user_entry,
Rent Comp Profiles,H48,48,H,VeryHidden,user_entry,
Rent Comp Profiles,K48,48,K,46.0,user_entry,
Rent Comp Profiles,H49,49,H,VeryHidden,user_entry,
Rent Comp Profiles,K49,49,K,47.0,user_entry,
Rent Comp Profiles,AA49,49,AA,0x2a,user_entry,
Rent Comp Profiles,AG49,49,AG,0x2a,user_entry,
Rent Comp Profiles,H50,50,H,VeryHidden,user_entry,
Rent Comp Profiles,K50,50,K,48.0,user_entry,
Rent Comp Profiles,AA50,50,AA,0x2a,user_entry,
Rent Comp Profiles,AG50,50,AG,0x2a,user_entry,
Rent Comp Profiles,H51,51,H,VeryHidden,user_entry,
Rent Comp Profiles,K51,51,K,49.0,user_entry,
Rent Comp Profiles,AA51,51,AA,0x2a,user_entry,
Rent Comp Profiles,AG51,51,AG,0x2a,user_entry,
Rent Comp Profiles,H52,52,H,VeryHidden,user_entry,
Rent Comp Profiles,K52,52,K,50.0,user_entry,
Rent Comp Profiles,AA52,52,AA,0x2a,user_entry,
Rent Comp Profiles,AG52,52,AG,0x2a,user_entry,
Rent Comp Profiles,H53,53,H,VeryHidden,user_entry,
Rent Comp Profiles,K53,53,K,51.0,user_entry,
Rent Comp Profiles,H54,54,H,VeryHidden,user_entry,
Rent Comp Profiles,K54,54,K,52.0,user_entry,
Rent Comp Profiles,AA54,54,AA,0x2a,user_entry,
Rent Comp Profiles,AG54,54,AG,0x2a,user_entry,
Rent Comp Profiles,H55,55,H,VeryHidden,user_entry,
Rent Comp Profiles,K55,55,K,53.0,user_entry,
Rent Comp Profiles,AA55,55,AA,0x2a,user_entry,
Rent Comp Profiles,AG55,55,AG,0x2a,user_entry,
Rent Comp Profiles,H56,56,H,VeryHidden,user_entry,
Rent Comp Profiles,K56,56,K,54.0,user_entry,
Rent Comp Profiles,AA56,56,AA,0x2a,user_entry,
Rent Comp Profiles,AG56,56,AG,0x2a,user_entry,
Rent Comp Profiles,H57,57,H,VeryHidden,user_entry,
Rent Comp Profiles,K57,57,K,55.0,user_entry,
Rent Comp Profiles,AA57,57,AA,0x2a,user_entry,
Rent Comp Profiles,AG57,57,AG,0x2a,user_entry,
Rent Comp Profiles,H58,58,H,VeryHidden,user_entry,
Rent Comp Profiles,K58,58,K,56.0,user_entry,
Rent Comp Profiles,AA58,58,AA,0x2a,user_entry,
Rent Comp Profiles,AG58,58,AG,0x2a,user_entry,
Rent Comp Profiles,H59,59,H,VeryHidden,user_entry,
Rent Comp Profiles,K59,59,K,57.0,user_entry,
Rent Comp Profiles,AA59,59,AA,0x2a,user_entry,
Rent Comp Profiles,AG59,59,AG,0x2a,user_entry,
Rent Comp Profiles,H60,60,H,VeryHidden,user_entry,
Rent Comp Profiles,K60,60,K,58.0,user_entry,
Rent Comp Profiles,AA60,60,AA,0x2a,user_entry,
Rent Comp Profiles,AG60,60,AG,0x2a,user_entry,
Rent Comp Profiles,H61,61,H,VeryHidden,user_entry,
Rent Comp Profiles,K61,61,K,59.0,user_entry,
Rent Comp Profiles,AA61,61,AA,0x2a,user_entry,
Rent Comp Profiles,AG61,61,AG,0x2a,user_entry,
Rent Comp Profiles,H62,62,H,VeryHidden,user_entry,
Rent Comp Profiles,K62,62,K,60.0,user_entry,
Rent Comp Profiles,AA62,62,AA,0x2a,user_entry,
Rent Comp Profiles,AG62,62,AG,0x2a,user_entry,
Rent Comp Profiles,H63,63,H,VeryHidden,user_entry,
Rent Comp Profiles,K63,63,K,61.0,user_entry,
Rent Comp Profiles,AA63,63,AA,0x2a,user_entry,
Rent Comp Profiles,AG63,63,AG,0x2a,user_entry,
Rent Comp Profiles,H64,64,H,VeryHidden,user_entry,
Rent Comp Profiles,K64,64,K,62.0,user_entry,
Rent Comp Profiles,AA64,64,AA,0x2a,user_entry,
Rent Comp Profiles,AG64,64,AG,0x2a,user_entry,
Rent Comp Profiles,H65,65,H,VeryHidden,user_entry,
Rent Comp Profiles,K65,65,K,63.0,user_entry,
Rent Comp Profiles,AA65,65,AA,0x2a,user_entry,
Rent Comp Profiles,AG65,65,AG,0x2a,user_entry,
Rent Comp Profiles,H66,66,H,VeryHidden,user_entry,
Rent Comp Profiles,K66,66,K,64.0,user_entry,
Rent Comp Profiles,AA66,66,AA,0x2a,user_entry,
Rent Comp Profiles,AG66,66,AG,0x2a,user_entry,
Rent Comp Profiles,H67,67,H,VeryHidden,user_entry,
Rent Comp Profiles,K67,67,K,65.0,user_entry,
Rent Comp Profiles,L67,67,L,Care Types,user_entry,
Rent Comp Profiles,Y67,67,Y,Care Types,user_entry,
Rent Comp Profiles,H68,68,H,VeryHidden,user_entry,
Rent Comp Profiles,K68,68,K,66.0,user_entry,
Rent Comp Profiles,H69,69,H,VeryHidden,user_entry,
Rent Comp Profiles,K69,69,K,67.0,user_entry,
Rent Comp Profiles,H70,70,H,VeryHidden,user_entry,
Rent Comp Profiles,K70,70,K,68.0,user_entry,
Rent Comp Profiles,H71,71,H,VeryHidden,user_entry,
Rent Comp Profiles,K71,71,K,69.0,user_entry,
Rent Comp Profiles,H72,72,H,VeryHidden,user_entry,
Rent Comp Profiles,K72,72,K,70.0,user_entry,
Rent Comp Profiles,H73,73,H,VeryHidden,user_entry,
Rent Comp Profiles,K73,73,K,71.0,user_entry,
Rent Comp Profiles,H74,74,H,VeryHidden,user_entry,
Rent Comp Profiles,K74,74,K,72.0,user_entry,
Rent Comp Profiles,H75,75,H,VeryHidden,user_entry,
Rent Comp Profiles,K75,75,K,73.0,user_entry,
Rent Comp Profiles,H76,76,H,VeryHidden,user_entry,
Rent Comp Profiles,K76,76,K,74.0,user_entry,
Rent Comp Profiles,H77,77,H,VeryHidden,user_entry,
Rent Comp Profiles,K77,77,K,75.0,user_entry,
Rent Comp Profiles,L77,77,L,Type [#] BR,user_entry,
Rent Comp Profiles,N77,77,N,Type [#] Baths,user_entry,
Rent Comp Profiles,O77,77,O,Unit Type [#],user_entry,
Rent Comp Profiles,P77,77,P,No. of Type [#],user_entry,
Rent Comp Profiles,R77,77,R,Type [#] Vacant Units,user_entry,
Rent Comp Profiles,S77,77,S,Type [#] SF,user_entry,
Rent Comp Profiles,T77,77,T,Type [#] Rent/Mo.,user_entry,
Rent Comp Profiles,V77,77,V,Type [#] Market Rent/Mo.,user_entry,
Rent Comp Profiles,Y77,77,Y,0x2a,user_entry,
Rent Comp Profiles,AA77,77,AA,0x2a,user_entry,
Rent Comp Profiles,AC77,77,AC,No. of Units,user_entry,
Rent Comp Profiles,AE77,77,AE,Vacant Units,user_entry,
Rent Comp Profiles,AG77,77,AG,Rent/Mo.,user_entry,
Rent Comp Profiles,AI77,77,AI,Market Rent/Mo.,user_entry,
Rent Comp Profiles,H78,78,H,VeryHidden,user_entry,
Rent Comp Profiles,K78,78,K,76.0,user_entry,
Rent Comp Profiles,H79,79,H,VeryHidden,user_entry,
Rent Comp Profiles,K79,79,K,77.0,user_entry,
Rent Comp Profiles,H80,80,H,VeryHidden,user_entry,
Rent Comp Profiles,K80,80,K,78.0,user_entry,
Rent Comp Profiles,H81,81,H,VeryHidden,user_entry,
Rent Comp Profiles,K81,81,K,79.0,user_entry,
Rent Comp Profiles,H82,82,H,VeryHidden,user_entry,
Rent Comp Profiles,K82,82,K,80.0,user_entry,
Rent Comp Profiles,H83,83,H,VeryHidden,user_entry,
Rent Comp Profiles,K83,83,K,81.0,user_entry,
Rent Comp Profiles,H84,84,H,VeryHidden,user_entry,
Rent Comp Profiles,K84,84,K,82.0,user_entry,
Rent Comp Profiles,H85,85,H,VeryHidden,user_entry,
Rent Comp Profiles,K85,85,K,83.0,user_entry,
Rent Comp Profiles,H86,86,H,VeryHidden,user_entry,
Rent Comp Profiles,K86,86,K,84.0,user_entry,
Rent Comp Profiles,H87,87,H,VeryHidden,user_entry,
Rent Comp Profiles,K87,87,K,85.0,user_entry,
Rent Comp Profiles,H88,88,H,VeryHidden,user_entry,
Rent Comp Profiles,K88,88,K,86.0,user_entry,
Rent Comp Profiles,H89,89,H,VeryHidden,user_entry,
Rent Comp Profiles,K89,89,K,87.0,user_entry,
Rent Comp Profiles,H90,90,H,VeryHidden,user_entry,
Rent Comp Profiles,K90,90,K,88.0,user_entry,
Rent Comp Profiles,H91,91,H,VeryHidden,user_entry,
Rent Comp Profiles,K91,91,K,89.0,user_entry,
Rent Comp Profiles,H92,92,H,VeryHidden,user_entry,
Rent Comp Profiles,K92,92,K,90.0,user_entry,
Rent Comp Profiles,H93,93,H,VeryHidden,user_entry,
Rent Comp Profiles,K93,93,K,91.0,user_entry,
Rent Comp Profiles,H94,94,H,VeryHidden,user_entry,
Rent Comp Profiles,K94,94,K,92.0,user_entry,
Rent Comp Profiles,H95,95,H,VeryHidden,user_entry,
Rent Comp Profiles,K95,95,K,93.0,user_entry,
Rent Comp Profiles,H96,96,H,VeryHidden,user_entry,
Rent Comp Profiles,K96,96,K,94.0,user_entry,
Rent Comp Profiles,H97,97,H,VeryHidden,user_entry,
Rent Comp Profiles,K97,97,K,95.0,user_entry,
Rent Comp Profiles,H98,98,H,VeryHidden,user_entry,
Rent Comp Profiles,K98,98,K,96.0,user_entry,
Rent Comp Profiles,H99,99,H,VeryHidden,user_entry,
Rent Comp Profiles,K99,99,K,97.0,user_entry,
Rent Comp Profiles,H100,100,H,VeryHidden,user_entry,
Rent Comp Profiles,K100,100,K,98.0,user_entry,
Rent Comp Profiles,H101,101,H,VeryHidden,user_entry,
Rent Comp Profiles,K101,101,K,99.0,user_entry,
Rent Comp Profiles,Y101,101,Y,0x2a,user_entry,
