tab,cell,row,col,value,field_type,formula
Land Comp Profiles,AG26,26,AG,Price Per Acre,user_entry,
Land Comp Profiles,H27,27,H,VeryHidden,user_entry,
Land Comp Profiles,K27,27,K,25.0,user_entry,
Land Comp Profiles,N27,27,N,Price,user_entry,
Land Comp Profiles,T27,27,T,Property Rights,user_entry,
Land Comp Profiles,AA27,27,AA,Sale Price,user_entry,
Land Comp Profiles,AG27,27,AG,Property Rights,user_entry,
Land Comp Profiles,H28,28,H,VeryHidden,user_entry,
Land Comp Profiles,K28,28,K,26.0,user_entry,
Land Comp Profiles,N28,28,N,Financing,user_entry,
Land Comp Profiles,T28,28,T,Conditions of Sale,user_entry,
Land Comp Profiles,AA28,28,AA,Financing,user_entry,
Land Comp Profiles,AG28,28,AG,Conditions of Sale,user_entry,
Land Comp Profiles,H29,29,H,VeryHidden,user_entry,
Land Comp Profiles,K29,29,K,27.0,user_entry,
Land Comp Profiles,N29,29,N,Grantor,user_entry,
Land Comp Profiles,T29,29,T,Grantee,user_entry,
Land Comp Profiles,AA29,29,AA,Grantor,user_entry,
Land Comp Profiles,AG29,29,AG,Grantee,user_entry,
Land Comp Profiles,H30,30,H,VeryHidden,user_entry,
Land Comp Profiles,K30,30,K,28.0,user_entry,
Land Comp Profiles,N30,30,N,Book/Page or Reference Doc,user_entry,
Land Comp Profiles,T30,30,T,Sale Verification Source,user_entry,
Land Comp Profiles,AA30,30,AA,Book/Page or Ref Doc,user_entry,
Land Comp Profiles,AG30,30,AG,Verification,user_entry,
Land Comp Profiles,H31,31,H,VeryHidden,user_entry,
Land Comp Profiles,K31,31,K,29.0,user_entry,
Land Comp Profiles,N31,31,N,Traffic Count,user_entry,
Land Comp Profiles,AA31,31,AA,Traffic Count,user_entry,
Land Comp Profiles,AG31,31,AG,0x2a,user_entry,
Land Comp Profiles,H32,32,H,VeryHidden,user_entry,
Land Comp Profiles,K32,32,K,30.0,user_entry,
Land Comp Profiles,AA32,32,AA,0x2a,user_entry,
Land Comp Profiles,AG32,32,AG,0x2a,user_entry,
Land Comp Profiles,H33,33,H,VeryHidden,user_entry,
Land Comp Profiles,K33,33,K,31.0,user_entry,
Land Comp Profiles,AA33,33,AA,0x2a,user_entry,
Land Comp Profiles,AG33,33,AG,0x2a,user_entry,
Land Comp Profiles,H34,34,H,VeryHidden,user_entry,
Land Comp Profiles,K34,34,K,32.0,user_entry,
Land Comp Profiles,AA34,34,AA,0x2a,user_entry,
Land Comp Profiles,AG34,34,AG,0x2a,user_entry,
Land Comp Profiles,H35,35,H,VeryHidden,user_entry,
Land Comp Profiles,K35,35,K,33.0,user_entry,
Land Comp Profiles,AA35,35,AA,0x2a,user_entry,
Land Comp Profiles,AG35,35,AG,0x2a,user_entry,
Land Comp Profiles,H36,36,H,VeryHidden,user_entry,
Land Comp Profiles,K36,36,K,34.0,user_entry,
Land Comp Profiles,AA36,36,AA,0x2a,user_entry,
Land Comp Profiles,AG36,36,AG,0x2a,user_entry,
Land Comp Profiles,H37,37,H,VeryHidden,user_entry,
Land Comp Profiles,K37,37,K,35.0,user_entry,
Land Comp Profiles,AA37,37,AA,0x2a,user_entry,
Land Comp Profiles,AG37,37,AG,0x2a,user_entry,
Land Comp Profiles,H38,38,H,VeryHidden,user_entry,
Land Comp Profiles,K38,38,K,36.0,user_entry,
Land Comp Profiles,AA38,38,AA,0x2a,user_entry,
Land Comp Profiles,AG38,38,AG,0x2a,user_entry,
Land Comp Profiles,H39,39,H,VeryHidden,user_entry,
Land Comp Profiles,K39,39,K,37.0,user_entry,
Land Comp Profiles,AA39,39,AA,0x2a,user_entry,
Land Comp Profiles,AG39,39,AG,0x2a,user_entry,
Land Comp Profiles,H40,40,H,VeryHidden,user_entry,
Land Comp Profiles,K40,40,K,38.0,user_entry,
Land Comp Profiles,H41,41,H,VeryHidden,user_entry,
Land Comp Profiles,K41,41,K,39.0,user_entry,
Land Comp Profiles,L41,41,L,Multifamily Project Amenities,user_entry,
Land Comp Profiles,Y41,41,Y,Project Amenities,user_entry,
Land Comp Profiles,H42,42,H,VeryHidden,user_entry,
Land Comp Profiles,K42,42,K,40.0,user_entry,
Land Comp Profiles,Y42,42,Y,0x2a,user_entry,
Land Comp Profiles,H43,43,H,VeryHidden,user_entry,
Land Comp Profiles,K43,43,K,41.0,user_entry,
Land Comp Profiles,H44,44,H,VeryHidden,user_entry,
Land Comp Profiles,K44,44,K,42.0,user_entry,
Land Comp Profiles,L44,44,L,Multifamily Unit Features,user_entry,
Land Comp Profiles,Y44,44,Y,Unit Features,user_entry,
Land Comp Profiles,H45,45,H,VeryHidden,user_entry,
