tab,cell,row,col,value,field_type,formula
Sale Comp Profiles,H22,22,H,VeryHidden,user_entry,
Sale Comp Profiles,K22,22,K,20.0,user_entry,
Sale Comp Profiles,AA22,22,AA,0x2a,user_entry,
Sale Comp Profiles,H23,23,H,VeryHidden,user_entry,
Sale Comp Profiles,K23,23,K,21.0,user_entry,
Sale Comp Profiles,H24,24,H,VeryHidden,user_entry,
Sale Comp Profiles,K24,24,K,22.0,user_entry,
Sale Comp Profiles,H25,25,H,VeryHidden,user_entry,
Sale Comp Profiles,K25,25,K,23.0,user_entry,
Sale Comp Profiles,N25,25,N,Transaction Type,user_entry,
Sale Comp Profiles,T25,25,T,No. of Units,user_entry,
Sale Comp Profiles,AA25,25,AA,Status,user_entry,
Sale Comp Profiles,AG25,25,AG,Units,user_entry,
Sale Comp Profiles,H26,26,H,VeryHidden,user_entry,
Sale Comp Profiles,K26,26,K,24.0,user_entry,
Sale Comp Profiles,N26,26,N,Date,user_entry,
Sale Comp Profiles,T26,26,T,Price per Unit,user_entry,
Sale Comp Profiles,AA26,26,AA,Sale Date,user_entry,
Sale Comp Profiles,AG26,26,AG,Price per Unit,user_entry,
Sale Comp Profiles,H27,27,H,VeryHidden,user_entry,
Sale Comp Profiles,K27,27,K,25.0,user_entry,
Sale Comp Profiles,N27,27,N,Price,user_entry,
Sale Comp Profiles,T27,27,T,Property Rights,user_entry,
Sale Comp Profiles,AA27,27,AA,Sale Price,user_entry,
Sale Comp Profiles,AG27,27,AG,Property Rights,user_entry,
Sale Comp Profiles,H28,28,H,VeryHidden,user_entry,
Sale Comp Profiles,K28,28,K,26.0,user_entry,
Sale Comp Profiles,N28,28,N,Financing,user_entry,
Sale Comp Profiles,T28,28,T,Conditions of Sale,user_entry,
Sale Comp Profiles,AA28,28,AA,Financing,user_entry,
Sale Comp Profiles,AG28,28,AG,Conditions of Sale,user_entry,
Sale Comp Profiles,H29,29,H,VeryHidden,user_entry,
Sale Comp Profiles,K29,29,K,27.0,user_entry,
Sale Comp Profiles,N29,29,N,Grantor,user_entry,
Sale Comp Profiles,T29,29,T,Grantee,user_entry,
Sale Comp Profiles,AA29,29,AA,Grantor,user_entry,
Sale Comp Profiles,AG29,29,AG,Grantee,user_entry,
Sale Comp Profiles,H30,30,H,VeryHidden,user_entry,
Sale Comp Profiles,K30,30,K,28.0,user_entry,
Sale Comp Profiles,N30,30,N,Book/Page or Reference Doc,user_entry,
Sale Comp Profiles,T30,30,T,Sale Verification Source,user_entry,
Sale Comp Profiles,AA30,30,AA,Book/Page or Ref Doc,user_entry,
Sale Comp Profiles,AG30,30,AG,Verification,user_entry,
Sale Comp Profiles,H31,31,H,VeryHidden,user_entry,
Sale Comp Profiles,K31,31,K,29.0,user_entry,
Sale Comp Profiles,N31,31,N,TOS Cap Rate,user_entry,
Sale Comp Profiles,T31,31,T,TOS Occupancy Rate,user_entry,
Sale Comp Profiles,AA31,31,AA,TOS Cap Rate,user_entry,
Sale Comp Profiles,AG31,31,AG,TOS Occupancy,user_entry,
Sale Comp Profiles,H32,32,H,VeryHidden,user_entry,
Sale Comp Profiles,K32,32,K,30.0,user_entry,
Sale Comp Profiles,N32,32,N,No. of Buildings,user_entry,
Sale Comp Profiles,T32,32,T,No. of Stories,user_entry,
Sale Comp Profiles,AA32,32,AA,No. of Buildings,user_entry,
Sale Comp Profiles,AG32,32,AG,No. of Stories,user_entry,
Sale Comp Profiles,H33,33,H,VeryHidden,user_entry,
Sale Comp Profiles,K33,33,K,31.0,user_entry,
Sale Comp Profiles,N33,33,N,GBA,user_entry,
Sale Comp Profiles,T33,33,T,Rentable Area,user_entry,
Sale Comp Profiles,AA33,33,AA,GBA,user_entry,
Sale Comp Profiles,AG33,33,AG,RA,user_entry,
Sale Comp Profiles,H34,34,H,VeryHidden,user_entry,
Sale Comp Profiles,K34,34,K,32.0,user_entry,
Sale Comp Profiles,N34,34,N,Average MF Unit Size,user_entry,
Sale Comp Profiles,T34,34,T,MF Rent Type,user_entry,
Sale Comp Profiles,AA34,34,AA,Avg. Unit Size,user_entry,
Sale Comp Profiles,AG34,34,AG,Rent Restrictions,user_entry,
Sale Comp Profiles,H35,35,H,VeryHidden,user_entry,
Sale Comp Profiles,K35,35,K,33.0,user_entry,
Sale Comp Profiles,AA35,35,AA,0x2a,user_entry,
Sale Comp Profiles,AG35,35,AG,0x2a,user_entry,
Sale Comp Profiles,H36,36,H,VeryHidden,user_entry,
Sale Comp Profiles,K36,36,K,34.0,user_entry,
Sale Comp Profiles,AA36,36,AA,0x2a,user_entry,
Sale Comp Profiles,AG36,36,AG,0x2a,user_entry,
Sale Comp Profiles,H37,37,H,VeryHidden,user_entry,
Sale Comp Profiles,K37,37,K,35.0,user_entry,
Sale Comp Profiles,AA37,37,AA,0x2a,user_entry,
Sale Comp Profiles,AG37,37,AG,0x2a,user_entry,
Sale Comp Profiles,H38,38,H,VeryHidden,user_entry,
Sale Comp Profiles,K38,38,K,36.0,user_entry,
Sale Comp Profiles,AA38,38,AA,0x2a,user_entry,
Sale Comp Profiles,AG38,38,AG,0x2a,user_entry,
Sale Comp Profiles,H39,39,H,VeryHidden,user_entry,
Sale Comp Profiles,K39,39,K,37.0,user_entry,
Sale Comp Profiles,AA39,39,AA,0x2a,user_entry,
Sale Comp Profiles,AG39,39,AG,0x2a,user_entry,
Sale Comp Profiles,H40,40,H,VeryHidden,user_entry,
Sale Comp Profiles,K40,40,K,38.0,user_entry,
Sale Comp Profiles,H41,41,H,VeryHidden,user_entry,
Sale Comp Profiles,K41,41,K,39.0,user_entry,
Sale Comp Profiles,L41,41,L,Multifamily Project Amenities,user_entry,
Sale Comp Profiles,Y41,41,Y,Project Amenities,user_entry,
Sale Comp Profiles,H42,42,H,VeryHidden,user_entry,
Sale Comp Profiles,K42,42,K,40.0,user_entry,
Sale Comp Profiles,L42,42,L,Multifamily Project Amenities,user_entry,
Sale Comp Profiles,Y42,42,Y,Project Amenities,user_entry,
Sale Comp Profiles,H43,43,H,VeryHidden,user_entry,
Sale Comp Profiles,K43,43,K,41.0,user_entry,
Sale Comp Profiles,H44,44,H,VeryHidden,user_entry,
Sale Comp Profiles,K44,44,K,42.0,user_entry,
Sale Comp Profiles,L44,44,L,Multifamily Unit Features,user_entry,
Sale Comp Profiles,Y44,44,Y,Unit Features,user_entry,
Sale Comp Profiles,H45,45,H,VeryHidden,user_entry,
Sale Comp Profiles,K45,45,K,43.0,user_entry,
Sale Comp Profiles,L45,45,L,Multifamily Unit Amenities,user_entry,
Sale Comp Profiles,Y45,45,Y,Unit Features,user_entry,
Sale Comp Profiles,H46,46,H,VeryHidden,user_entry,
Sale Comp Profiles,K46,46,K,44.0,user_entry,
Sale Comp Profiles,H47,47,H,VeryHidden,user_entry,
Sale Comp Profiles,K47,47,K,45.0,user_entry,
Sale Comp Profiles,L47,47,L,Major Tenants,user_entry,
Sale Comp Profiles,Y47,47,Y,Major Tenants,user_entry,
Sale Comp Profiles,H48,48,H,VeryHidden,user_entry,
Sale Comp Profiles,K48,48,K,46.0,user_entry,
Sale Comp Profiles,Y48,48,Y,0x2a,user_entry,
Sale Comp Profiles,H49,49,H,VeryHidden,user_entry,
Sale Comp Profiles,K49,49,K,47.0,user_entry,
Sale Comp Profiles,H50,50,H,VeryHidden,user_entry,
Sale Comp Profiles,K50,50,K,48.0,user_entry,
Sale Comp Profiles,H51,51,H,VeryHidden,user_entry,
Sale Comp Profiles,K51,51,K,49.0,user_entry,
