FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data
district_name,Sales_tosvacancyrate,Taxes Per SF,
district_url,Sales_tospriceperrsf,Percent Leased,
districtspending,Sales_tospriceperuseableacreland,Vacancy %,
drainage,Sales_tospriceperuseablesfland,Days On Market,
duration_seconds,Sales_tosnumberoftenants,Tenancy,
earthquake_hazard_risk,Sales_tostenancytype,Rent Type,
earthquake_zone_comments,Sales_tosweightedaverageleaseterm,Rent/SF/Yr,
east_boundary,Sales_toseffectiveage,Average Weighted Rent,
eff_rent_per_mo,Sales_discountrate,Pre-Leasing,
eff_rent_per_year,Sales_expensegrowthrate,Exp Year,
effective_age,Sales_incomegrowthrate,Avg Rent-Direct (Industrial),
effective_gross_income_multiplier,Sales_terminalcaprate,Avg Rent-Direct (Office),
effective_rent_sf,Sales_holdingperiodyears,Avg Rent-Direct (Retail),
effective_rent_sf_mo,Sales_incomegrowth,Avg Rent-Sublet (Industrial),
effective_water_frontage,Sales_riskprofile,Avg Rent-Sublet (Office),
egim,Sales_originallistprice,Avg Rent-Sublet (Retail),
encumbrance_or_easement,Sales_originallppercentdiff,Direct Available Space,
enrollment,Sales_currentlistprice,Direct Vacant Space,
entry_fee_max,Sales_currentlppercentdiff,Sublet Available Space,
entry_fee_min,Sales_environmentalconcerns,Sublet Vacant Space,
environmental_concerns,Sales_environmentalstatus,Total Available Space (SF),
environmental_issues,Sales_environmentalremarks,Total Relet Space (SF),
environmental_remarks,Sales_cleanupcosts,Total Sublet Space (SF),
environmental_status,Sales_typeofcontamination,Total Vacant Avail Relet Space (SF),
equalization_ratio,Sales_responsibleparty,Total Vacant Avail Sublet Space (SF),
escalations,Sales_percentdiminutioninvalue,Total Vacant Available,
excess_land_adjustment,Sales_diminutionsource,Total New Space (SF),
expenditures_after_sale_adjustment,Sales_percentstigma,Smallest Available Space,
expense_growth_rate,Sales_adjustmentcomments,Max Building Contiguous Space,
expense_reimbursements,Sales_internalcomments,Max Floor Contiguous Space,
expense_stop,Sales_salenotes,Direct Services,
exterior_wall,Sales_salecomments,Sublet Services,
exterior_wall_id,Sales_priceperusableacre,Office Space,
far,Sales_priceperusablelandsf,Ceiling Ht,
features,Sites_NumberOfParcels,Column Spacing,
fema_map_date,Sites_landuse,Drive Ins,
ff_and_e,Sites_acres,Number Of Cranes,
ff_and_e_adjustment,Sites_landsf,Number Of Loading Docks,
field_changed,Sites_usableacres,Power,
field_name,Sites_usablelandsf,Rail Lines,
field_value,Sites_UnusableAcres,,
financing,Sites_UnusableLandSF,,
financing_terms_adjustment,Sites_excessacres,,
financing_type,Sites_excesslandsf,,
finish,Sites_SurplusAcres,,
finish_condition,Sites_SurplusLandSF,,
fireplace_or_woodstove,Sites_easementacres,,
flood_map_panel,Sites_easementlandsf,,
flood_zone,Sites_buildablesf,,
floor,Sites_landhectares,,
floor_area_ratio,Sites_landsquaremeters,,
floor_level,Sites_allowablefloorareasf,,
foundation_id,Sites_allowableunits,,
foundation_type,Sites_proposedsf,,
free_rent_months,Sites_proposedunits,,
front_set_back_distance,Sites_landunits,,
garage_parking_spaces,Sites_landunittype,,
garage_type,Sites_landunitapprovedorzoned,,
gba,Sites_roadfrontage,,
gba_total,Sites_primaryfrontagelf,,
gba_total_meters,Sites_primaryfrontagest,,
geo_code,Sites_secondaryfrontagelf,,
geo_name,Sites_secondaryfrontagest,,
geo_type,Sites_tertiaryfrontagelf,,
geography_id,Sites_tertiaryfrontagest,,
grantee,Sites_dimensions,,
grantee_buyer,Sites_waterfrontage,,
grantor,Sites_effectivewaterfrontage,,
grantor_seller,Sites_depth,,
gross_building_area,Sites_access,,
heating_id,Sites_views,,
heating_type,Sites_visibility,,
highest_and_best_use,Sites_shape,,
holding_period_years,Sites_topography,,
home_site_acres,Sites_corner,,
hotel_flag,Sites_utilities,,
hotel_room_rev_multiplier,Sites_allutilities,,
id,Sites_floodzone,,
implied_value,Sites_floodmappanel,,
improvement_assessment,Sites_femamapdate,,
improvement_comments,Sites_withinfloodplainname,,
improvement_id,Sites_areainfloodzone,,
improvement_subrecords_condition,Sites_earthquakehazardrisk,,
improvement_subrecords_construction,Sites_earthquakezonecomments,,
improvement_subrecords_cooling,Sites_encumbranceoreasement,,
improvement_subrecords_deferredmaintance,Sites_environmentalissues,,
improvement_subrecords_docks,Sites_drainage,,
improvement_subrecords_foundation,Sites_railservice,,
improvement_subrecords_garage,Sites_demographicssurveydate,,
improvement_subrecords_heating,Sites_medianhomevalue,,
improvement_subrecords_landscaping,Sites_medianhouseholdincome,,
improvement_subrecords_landtobuildingratio,Sites_trafficsurveydate,,
improvement_subrecords_loadfactor,Sites_trafficcount,,
improvement_subrecords_multifamilyamenities,Sites_secondarytrafficcount,,
improvement_subrecords_noofbathrooms,Sites_tertiarytrafficcount,,
improvement_subrecords_noofbays,Sites_soiltype,,
improvement_subrecords_noofbedrooms,Sites_productivityindex,,
improvement_subrecords_noofbeds,Sites_tillableacres,,
improvement_subrecords_noofelevators,Sites_percenttillable,,
