Web Page Name,Web Display Name,Excel Template Name,Description,Date Added,Version,Data Type,Display Format,Interface Calculation,API Object,API Field Name,Enumeration ID,Model,API Object_API Field Name,Property Type,,,,,
General,CBSA ID,CBSA ID,Core-Based Statistical Area ID,10/11/2017,,int,,,Parcel,cbsa_id,,public string CBSA_Name,Parcel_cbsa_id,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,MSA,MSA,Metropolitan Statistical Area,6/26/2020,1.20.0,text,,,Parcel,msa,,public string MSA { get; set; },Parcel_msa,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Census Block,Census Block,A geographic region defined for the purpose of taking a census.,6/26/2020,1.20.0,text,,,Parcel,censusblock,,public string CensusBlock { get; set; },Parcel_censusblock,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Census Tract,Census Tract,A geographic region defined for the purpose of taking a census.,6/26/2020,1.20.0,text,,,Parcel,censustract,,public string CensusTract { get; set; },Parcel_censustract,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Neighborhood,Neighborhood,A geographic region defined for Location purposes.,6/26/2020,1.20.0,text,,,Parcel,neighborhood,,public string Neighborhood { get; set; },Parcel_neighborhood,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,North Boundary,North Boundary,"The Northern boundary of a defined Neighborhood, may be an artery or a mountain range, body of water, etc.",8/30/2022,1.28.2,string,text,,Parcel,northboundary,,public string NorthBoundary { get; set; },Parcel_northboundary,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,South Boundary,South Boundary,"The Southern boundary of a defined Neighborhood, may be an artery or a mountain range, body of water, etc.",8/30/2022,1.28.2,string,text,,Parcel,southboundary,,public string SouthBoundary { get; set; },Parcel_southboundary,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,East Boundary,East Boundary,"The Eastern boundary of a defined Neighborhood, may be an artery or a mountain range, body of water, etc.",8/30/2022,1.28.2,string,text,,Parcel,eastboundary,,public string EastBoundary { get; set; },Parcel_eastboundary,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,West Boundary,West Boundary,"The Western boundary of a defined Neighborhood, may be an artery or a mountain range, body of water, etc.",8/30/2022,1.28.2,string,text,,Parcel,westboundary,,public string WestBoundary { get; set; },Parcel_westboundary,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Neighborhood Comments,Neighborhood Comments,Comments relating to the Neighborhood.,8/30/2022,1.28.2,varchar,TA,,Parcel,neighborhoodcomments,,public string NeighborhoodComments { get; set; },Parcel_neighborhoodcomments,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Location Description,Location Description,Description of the property location.,6/26/2020,1.20.0,string,TA,,Parcel,locationdescription,,public string LocationDescription { get; set; },Parcel_locationdescription,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Opportunity Zone,Opportunity Zone,A designation and investment program created by the Tax Cuts and Jobs Act of 2017 allowing for certain investments in lower income areas to have tax advantages.,8/28/2020,1.20.2,text,,,Parcel,opportunityzone,,public int OpportunityZoneId { get; set; } = (int)LK_OpportunityZone.Unknown;,Parcel_opportunityzone,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,School District,School District,A geographical unit for the local administration of schools.,6/26/2020,1.20.0,text,,,Parcel,schooldistrict,,public string SchoolDistrict { get; set; },Parcel_schooldistrict,"Multi-Family (MF), Manufactured Housing",,,,,
