CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields,CoStar Aligned Fields
,,Assessment_historicalimprovvalue1,
,,Assessment_historicalimprovvalue2,
,,Assessment_historicalimprovvalue3,
,,Assessment_historicalimprovvalue4,
,,Assessment_historicallandvalue1,
,,Assessment_historicallandvalue2,
,,Assessment_historicallandvalue3,
,,Assessment_historicallandvalue4,
,,Assessment_historicaltaxes1,
,,Assessment_historicaltaxes2,
,,Assessment_historicaltaxes3,
,,Assessment_historicaltaxes4,
,,Assessment_historicalyear1,
,,Assessment_historicalyear2,
,,Assessment_historicalyear3,
,,Assessment_historicalyear4,
,,Assessment_Subparcels OLD_impliedvalue,
,,Zoning_Subrecords_Zoningid,
,,Zoning_Subrecords_zoning,
,,Zoning_Subrecords_zoneddensity,
,,Zoning_Subrecords_permitteduses,
,,Zoning_Subrecords_maxsitecoverage,
,,Zoning_Subrecords_sideyarddistance,
,,Zoning_Subrecords_maxbuildheight,
,,Zoning_Subrecords_ordinancedocument,
,,Zoning_Subrecords_comments,
,,Sites_Subparcels_parcelid,
,,Sites_Subparcels_id,
,,Sites_Subparcels_identification,
,,Sites_Subparcels_acres,
,,Sites_Subparcels_landsf,
,,Sites_Subparcels_subparcelcomments,
,,Improvement_Subrecords_NA_parcelId,
,,Improvement_Subrecords_buildingdescription,
,,_constructionclassid,
,,Improvement_Subrecords_constructionclass,
,,_buildingclassid,
,,Improvement_Subrecords_buildingclass,
,,Improvement_Subrecords_perimetersf,
,,_sourceforsfareaid,
,,Improvement_Subrecords_sourceforsfarea,
,,Improvement_Subrecords_noofofficeunits,
,,Improvement_Subrecords_officegba,
,,Improvement_Subrecords_officera,
,,Improvement_Subrecords_usablearea,
,,Improvement_Subrecords_percentofficera,
,,Improvement_Subrecords_othergba,
,,Improvement_Subrecords_otherra,
,,Improvement_Subrecords_landtobuildingratio,
,,Improvement_Subrecords_noofstories,
,,Improvement_Subrecords_noofseats,
,,Improvement_Subrecords_noofgolfholes,
,,Improvement_Subrecords_designappeal,
,,Improvement_Subrecords_quality,
,,Improvement_Subrecords_ffande,
,,Improvement_Subrecords_yearbuilt,
,,Improvement_Subrecords_renovations,
,,Improvement_Subrecords_proportionrenovated,
,,Improvement_Subrecords_totaleconomiclife,
,,Improvement_Subrecords_effectiveage,
,,Improvement_Subrecords_remainingeconomiclife,
,,Improvement_Subrecords_exteriorwall,
,,Improvement_Subrecords_basementuseandfinish,
,,Improvement_Subrecords_basementsize,
,,Improvement_Subrecords_columnspacing,
,,Improvement_Subrecords_ceilingheight,
,,Improvement_Subrecords_roofcover,
,,Improvement_Subrecords_rooftype,
,,Improvement_Subrecords_noofelevators,
,,Improvement_Subrecords_noofescalators,
,,Improvement_Subrecords_fireplaceorwoodstove,
,,Improvement_Subrecords_garage,
,,Improvement_Subrecords_ancillarybuildings,
,,Improvement_Subrecords_gbaofficemeters,
,,Improvement_Subrecords_raofficemeters,
,,Improvement_Subrecords_gbaothermeters,
,,Improvement_Subrecords_raothermeters,
,,Improvement_Subrecords_gbatotalmeters,
,,Improvement_Subrecords_ratotalmeters,
,,Assessment_Subparcels_id,
,,Assessment_Subparcels_assessinfoid,
,,Assessment_Subparcels_,
,,Assessment_Subparcels_taxid,
,,Assessment_Subparcels_assessmentyear,
,,Assessment_Subparcels_landassessment,
,,Assessment_Subparcels_improvementassessment,
,,Assessment_Subparcels_otherassessment,
,,Assessment_Subparcels_totalassessment,
,,Assessment_Subparcels_taxingauthority,
,,Assessment_Subparcels_taxyear,
,,Assessment_Subparcels_taxratecode,
,,Assessment_Subparcels_taxrate,
,,Assessment_Subparcels_taxrateper,
,,Assessment_Subparcels_basetaxes,
,,Assessment_Subparcels_specialassessments,
,,Assessment_Subparcels_taxes,
,,Assessment_Subparcels_marketvalue,
,,Assessment_Subparcels_equalizationratio,
,,Assessment_Subparcels_impliedvalue,
,,Assessment_Subparcels_isdeleted,
,,,Property Name
,,,Property Address
,,,County Name
,,,Continent
,,,Subcontinent
,,,Cross Street
,,,Market Name
,,,Submarket Cluster
,,,Closest Transit Stop
,,,Closest Transit Stop Dist (mi)
,,,Closest Transit Stop Walk Time (min)
,,,Property Location
,,,Owner Address
,,,Owner City State Zip
,,,Property Manager Address
,,,Property Manager City State Zip
,,,Recorded Owner Address
,,,Recorded Owner City State Zip
,,,True Owner Address
,,,True Owner City State Zip
,,,Leasing Company Address
,,,Leasing Company City State Zip
,,,Sale Company Address
,,,Sale Company City State Zip
,,,Secondary Type
,,,Building Status
,,,Constr Status
,,,Operational Status
,,,Operation Type
,,,Style
,,,Star Rating
,,,Building Park
,,,Month Built
,,,Year Renovated
,,,Month Renovated
,,,Construction Material
,,,Total Buildings
,,,Typical Floor Size
,,,RBA
,,,Core Factor
,,,Primary Corridors
,,,Sewer
,,,Water
,,,Gas
,,,Number Of Parking Spaces
,,,Parking Spaces/Unit
,,,Energy Star
,,,LEED Certified
,,,University
,,,Land Area (AC)
,,,FEMA Map Identifier
,,,FIRM ID
,,,FIRM Panel Number
,,,Flood Risk Area
,,,Floodplain Area
,,,In SFHA
,,,Owner Name
,,,Owner Contact
,,,Owner Phone
,,,True Owner Name
,,,True Owner Contact
,,,True Owner Phone
,,,Recorded Owner Name
,,,Recorded Owner Contact
,,,Recorded Owner Phone
,,,Property Manager Name
,,,Property Manager Contact
,,,Property Manager Phone
,,,Leasing Company Name
,,,Leasing Company Contact
,,,Leasing Company Phone
,,,Leasing Company Fax
,,,Sales Company
,,,Sale Company Name
,,,Sale Company Contact
,,,Sale Company Phone
,,,Sale Company Fax
,,,Sales Contact
,,,Sales Contact Phone
,,,Primary Agent Name
,,,Developer Name
,,,Architect Name
,,,Parent Company
,,,Fund Name
,,,For Sale Status
,,,Last Sale Price
,,,Building Operating Expenses
,,,Building Tax Expenses
,,,Percent Leased
,,,Tenancy
,,,Rent/SF/Yr
,,,Average Weighted Rent
,,,Pre-Leasing
,,,Exp Year
,,,Avg Rent-Direct (Industrial)
,,,Avg Rent-Direct (Office)
,,,Avg Rent-Direct (Retail)
,,,Avg Rent-Sublet (Industrial)
,,,Avg Rent-Sublet (Office)
,,,Avg Rent-Sublet (Retail)
,,,Direct Available Space
,,,Direct Vacant Space
,,,Sublet Available Space
,,,Sublet Vacant Space
,,,Total Available Space (SF)
,,,Total Relet Space (SF)
,,,Total Sublet Space (SF)
,,,Total Vacant Avail Relet Space (SF)
,,,Total Vacant Avail Sublet Space (SF)
,,,Total Vacant Available
,,,Total New Space (SF)
,,,Smallest Available Space
,,,Max Building Contiguous Space
,,,Max Floor Contiguous Space
,,,Direct Services
,,,Sublet Services
,,,Office Space
