LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
Sales_toscaprate,Sales Contact,created_by_user_id,
Sales_tosnoi,Sales Contact Phone,createdby,Parcel_createdby
Sales_tosoccupancyrate,Primary Agent Name,current_list_price,Sales_currentlistprice
Sales_tosvacancyrate,Developer Name,current_lp_percent_diff,Sales_currentlppercentdiff
Sales_tospriceperrsf,Architect Name,current_rent_per_mo,
Sales_tospriceperuseableacreland,Parent Company,current_use,Sales_currentuse
Sales_tospriceperuseablesfland,Fund Name,custom_fields,
Sales_toseffectiveage,$Price/Unit,daily_rate_per_unit,
Sales_discountrate,For Sale Price,daily_rate_per_unit_max,
Sales_expensegrowthrate,For Sale Status,daily_rate_per_unit_min,
Sales_incomegrowthrate,Last Sale Date,data_source,Sales_datasource
Sales_terminalcaprate,Last Sale Price,days_on_market,Sales_daysonmarket
Sales_holdingperiodyears,Cap Rate,deferred_maintenance,Improvement_deferredmaintance
Sales_incomegrowth,Building Operating Expenses,demographics_survey_date,
Sales_riskprofile,Ops Expense,depth,Sites_depth
Sales_originallistprice,Ops Expense Per SF,design_appeal,Improvement_designappeal
Sales_originallppercentdiff,Building Tax Expenses,dimensions,Sites_dimensions
Sales_currentlistprice,Tax Year,diminution_source,Sales_diminutionsource
Sales_currentlppercentdiff,Taxes Total,discount_rate,Sales_discountrate
Sales_environmentalconcerns,Taxes Per SF,district_name,
Sales_environmentalstatus,Percent Leased,district_url,
Sales_environmentalremarks,Vacancy %,districtspending,
Sales_cleanupcosts,Days On Market,drainage,Sites_drainage
Sales_typeofcontamination,Tenancy,duration_seconds,
Sales_responsibleparty,Rent Type,earthquake_hazard_risk,Sites_earthquakehazardrisk
Sales_percentdiminutioninvalue,Rent/SF/Yr,earthquake_zone_comments,Sites_earthquakezonecomments
Sales_diminutionsource,Average Weighted Rent,east_boundary,Parcel_eastboundary
Sales_percentstigma,Pre-Leasing,eff_rent_per_mo,
Sales_adjustmentcomments,Exp Year,eff_rent_per_year,
Sales_internalcomments,Avg Rent-Direct (Industrial),effective_age,Improvement_effectiveage
Sales_salenotes,Avg Rent-Direct (Office),effective_gross_income_multiplier,
Sales_salecomments,Avg Rent-Direct (Retail),effective_rent_sf,
Sales_priceperusableacre,Avg Rent-Sublet (Industrial),effective_rent_sf_mo,
Sales_priceperusablelandsf,Avg Rent-Sublet (Office),effective_water_frontage,Sites_effectivewaterfrontage
Sites_NumberOfParcels,Avg Rent-Sublet (Retail),egim,Sales_egim
Sites_landuse,Direct Available Space,encumbrance_or_easement,Sites_encumbranceoreasement
Sites_acres,Direct Vacant Space,enrollment,
Sites_landsf,Sublet Available Space,entry_fee_max,
Sites_usableacres,Sublet Vacant Space,entry_fee_min,
Sites_usablelandsf,Total Available Space (SF),environmental_concerns,Sales_environmentalconcerns
Sites_UnusableAcres,Total Relet Space (SF),environmental_issues,Sites_environmentalissues
Sites_UnusableLandSF,Total Sublet Space (SF),environmental_remarks,Sales_environmentalremarks
Sites_excessacres,Total Vacant Avail Relet Space (SF),environmental_status,Sales_environmentalstatus
Sites_excesslandsf,Total Vacant Avail Sublet Space (SF),equalization_ratio,Assessment_equalizationratio
Sites_SurplusAcres,Total Vacant Available,escalations,
Sites_SurplusLandSF,Total New Space (SF),excess_land_adjustment,Sales_excesslandadjustment
Sites_easementacres,Smallest Available Space,expenditures_after_sale_adjustment,Sales_expendituresaftersaleadjustment
Sites_easementlandsf,Max Building Contiguous Space,expense_growth_rate,Sales_expensegrowthrate
Sites_buildablesf,Max Floor Contiguous Space,expense_reimbursements,incExp_expensereimbursements
Sites_landhectares,Direct Services,expense_stop,
Sites_landsquaremeters,Sublet Services,exterior_wall,Improvement_exteriorwall
Sites_allowablefloorareasf,Office Space,exterior_wall_id,Improvement_Subrecords_exteriorwallid
Sites_proposedsf,,far,Parcel_far
Sites_landunits,,features,Improvement_features
Sites_landunittype,,fema_map_date,Sites_femamapdate
Sites_landunitapprovedorzoned,,ff_and_e,
Sites_roadfrontage,,ff_and_e_adjustment,Sales_ffandeadjustment
Sites_primaryfrontagelf,,field_changed,
Sites_primaryfrontagest,,field_name,
Sites_secondaryfrontagelf,,field_value,
Sites_secondaryfrontagest,,financing,Sales_financing
Sites_tertiaryfrontagelf,,financing_terms_adjustment,Sales_financingtermsadjustment
Sites_tertiaryfrontagest,,financing_type,
Sites_dimensions,,finish,
Sites_waterfrontage,,finish_condition,
Sites_effectivewaterfrontage,,fireplace_or_woodstove,Improvement_fireplaceorwoodstove
Sites_depth,,flood_map_panel,Sites_floodmappanel
Sites_access,,flood_zone,Sites_floodzone
Sites_views,,floor,
Sites_visibility,,floor_area_ratio,
Sites_shape,,floor_level,
Sites_topography,,foundation_id,Improvement_Subrecords_foundationid
Sites_corner,,foundation_type,Improvement_foundation
Sites_utilities,,free_rent_months,
Sites_allutilities,,front_set_back_distance,Zoning_Subrecords_frontsetbackdistance
Sites_floodzone,,garage_parking_spaces,Improvement_garageparkingspaces
Sites_floodmappanel,,garage_type,
Sites_femamapdate,,gba,Improvement_Subrecords_gba
Sites_withinfloodplainname,,gba_total,
Sites_areainfloodzone,,gba_total_meters,
Sites_earthquakehazardrisk,,geo_code,
Sites_earthquakezonecomments,,geo_name,
Sites_encumbranceoreasement,,geo_type,
Sites_environmentalissues,,geography_id,
Sites_drainage,,grantee,Sales_grantee
Sites_soiltype,,grantee_buyer,
Sites_productivityindex,,grantor,Sales_grantor
Sites_tillableacres,,grantor_seller,
Sites_percenttillable,,gross_building_area,
Sites_wetlandstype,,heating_id,Improvement_Subrecords_heatingid
Sites_wetlandacres,,heating_type,Improvement_heating
Sites_percentwetlands,,highest_and_best_use,Sales_highestandbestuse
Sites_woodlandacres,,holding_period_years,Sales_holdingperiodyears
Sites_otheracres,,home_site_acres,Sites_homesiteacres
Sites_wasteacres,,hotel_flag,Improvement_hotelflag
Sites_homesiteacres,,hotel_room_rev_multiplier,Sales_hotelroomrevmultiplier
Sites_sitecomments,,id,Parcel_id
Improvement_BuildingDescription,,implied_value,Assessment_impliedvalue
Improvement_noofbuildings,,improvement_assessment,Assessment_assessmentyear
Improvement_constructionclass,,improvement_comments,Sales_salecomments
Improvement_buildingclass,,improvement_id,Sales_id
Improvement_perimeter,,improvement_subrecords_condition,Improvement_Subrecords_condition
Improvement_sourceforsfarea,,improvement_subrecords_construction,Improvement_Subrecords_construction
Improvement_noofofficeunits,,improvement_subrecords_cooling,Improvement_Subrecords_cooling
Improvement_gbaoffice,,improvement_subrecords_deferredmaintance,Improvement_Subrecords_deferredmaintance
Improvement_raoffice,,improvement_subrecords_docks,Improvement_Subrecords_docks
Improvement_usablearea,,improvement_subrecords_foundation,Improvement_Subrecords_foundation
Improvement_loadfactor,,improvement_subrecords_garage,Improvement_garage
Improvement_percentofficera,,improvement_subrecords_heating,Improvement_Subrecords_heating
Improvement_noofotherunits,,improvement_subrecords_landscaping,Improvement_landscaping
Improvement_gbaother,,improvement_subrecords_landtobuildingratio,Improvement_landtobuildingratio
Improvement_raother,,improvement_subrecords_loadfactor,Improvement_loadfactor
Improvement_noofunits,,improvement_subrecords_multifamilyamenities,
Improvement_gbatotal,,improvement_subrecords_noofbathrooms,
Improvement_ratotal,,improvement_subrecords_noofbays,
Improvement_landtobuildingratio,,improvement_subrecords_noofbedrooms,
Parcel_far,,improvement_subrecords_noofbeds,
Improvement_surfaceparkingspaces,,improvement_subrecords_noofelevators,Improvement_noofelevators
Improvement_coveredparkingspaces,,improvement_subrecords_noofescalators,Improvement_noofescalators
Improvement_garageparkingspaces,,improvement_subrecords_noofgolfholes,Improvement_noofgolfholes
Improvement_parking,,improvement_subrecords_noofhalfbaths,Improvement_Subrecords_noofhalfbaths
Improvement_parkingratiounit,,improvement_subrecords_noofrooms,
Improvement_parkingratiogba,,improvement_subrecords_noofseats,Improvement_noofseats
Improvement_parkingratiora,,improvement_subrecords_noofspaces,Sites_NumberOfParcels
Improvement_noofstories,,improvement_subrecords_noofstories,Improvement_noofstories
Improvement_noofseats,,improvement_subrecords_nooftruckdoors,Improvement_Subrecords_nooftruckdoors
Improvement_noofgolfholes,,improvement_subrecords_nooftruckdoorswithlevelers,Improvement_Subrecords_nooftruckdoorswithlevelers
Improvement_adr,,improvement_subrecords_noofunits,Improvement_noofunits
Improvement_lhoccupancy,,improvement_subrecords_parking,Improvement_parking
Improvement_productsegment,,improvement_subrecords_parkingadequacy,Improvement_parkingadequacy
Improvement_hotelflag,,improvement_subrecords_parkingcomments,Improvement_parkingcomments
Improvement_designappeal,,improvement_subrecords_parkingcondition,Improvement_parkingcondition
Improvement_condition,,improvement_subrecords_parkingtype,Improvement_parkingtype
Improvement_construction,,improvement_subrecords_porchordeck,Improvement_Subrecords_porchordeck
Improvement_quality,,improvement_subrecords_proportionrenovated,Improvement_proportionrenovated
Improvement_landscaping,,improvement_subrecords_quality,Improvement_quality
Improvement_parkingtype,,improvement_subrecords_ratotalmeters,Improvement_ratotalmeters
Improvement_parkingadequacy,,improvement_subrecords_remainingeconomiclife,Improvement_remainingeconomiclife
Improvement_parkingcondition,,improvement_subrecords_renovations,Improvement_renovations
Improvement_parkingcomments,,improvement_subrecords_residentialamenities,Improvement_Subrecords_residentialamenities
Improvement_deferredmaintance,,improvement_subrecords_residentialdesign,Improvement_Subrecords_residentialdesign
Improvement_ffande,,improvement_subrecords_roofcover,Improvement_roofcover
Improvement_yearbuilt,,improvement_subrecords_rooftype,Improvement_rooftype
Improvement_yearbuiltnumeric,,improvement_subrecords_sourceforsfarea,Improvement_sourceforsfarea
Improvement_renovations,,improvement_subrecords_sprinklers,Improvement_sprinklers
Improvement_proportionrenovated,,improvement_subrecords_surfaceparkingspaces,Improvement_surfaceparkingspaces
Improvement_totaleconomiclife,,improvement_subrecords_tenantimprovements,Improvement_Subrecords_tenantimprovements
Improvement_effectiveage,,improvement_subrecords_totaleconomiclife,Improvement_totaleconomiclife
Improvement_remainingeconomiclife,,improvement_subrecords_typicalbaydepth,
Improvement_foundation,,improvement_subrecords_usablearea,Improvement_usablearea
Improvement_exteriorwall,,improvement_subrecords_yearbuilt,Improvement_yearbuilt
Improvement_basementuseandfinish,,improvement_value,
Improvement_basementsize,,improvement_value_per_sf,
Improvement_columnspacing,,income_growth,Sales_incomegrowth
Improvement_ceilingheight,,income_growth_rate,Sales_incomegrowthrate
Improvement_roofcover,,income_target_percent,
Improvement_rooftype,,incometarget,
Improvement_cooling,,industrial_gba,
Improvement_heating,,industrial_ra,
Improvement_noofelevators,,ingestion_timestamp,
Improvement_noofescalators,,instance_type,
Improvement_sprinklers,,internal_comments,Sales_internalcomments
Improvement_fireplaceorwoodstove,,is_active,
Improvement_garage,,is_confidential,
Improvement_ancillarybuildings,,is_deleted,Sales_isdeleted
Improvement_features,,is_excel_entry,
Improvement_amenities,,is_ground_lease,Parcel_isgroundlease
Improvement_improvmentcomments,,is_lihtc,
Improvement_gbaofficemeters,,isexcel,Sales_isexcel
Improvement_raofficemeters,,jurisdiction,Zoning_jurisdiction
Improvement_gbaothermeters,,land_assessment,Assessment_landassessment
Improvement_parkingratiora,,land_hectares,Sites_landhectares
Improvement_raothermeters,,land_sf,Sites_SurplusLandSF
Improvement_gbatotalmeters,,land_square_meters,Sites_landsquaremeters
Improvement_ratotalmeters,,land_unit_approved_or_zoned,Sites_landunitapprovedorzoned
incExp_name,,land_unit_type,Sites_landunittype
incExp_surveydate,,land_units,Sites_landunits
incExp_financialstype,,land_use,Sites_landuse
incExp_annualrent,,land_value,Sales_landvalue
incExp_baserentabatement,,land_value_per_sf,
incExp_expensereimbursements,,last_rent_increase,
incExp_netparkingincome,,lat,Parcel_lat
incExp_percentagerent,,lat_centroid,
incExp_otherincome,,lease_commencement_date,
incExp_pgi,,lease_comp_id,
incExp_pgipersf,,lease_concessions,
incExp_pgiperunit,,lease_conditions,
incExp_vacancycost,,lease_expiration_date,
incExp_vacancy,,lease_options,
incExp_vacancycostpersf,,lease_start_date,
incExp_vacancycostperunit,,lease_tenant_improvs,
incExp_occupancy,,lease_term_months,
incExp_egi,,lease_transaction_type,Sales_transactiontype
incExp_egipersf,,lease_type,
incExp_egiperunit,,leasedate,
incExp_taxexpense,,leaseexpiration,
incExp_insurance,,leaseexpiredate,
