LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Sales_typeofcontamination,Tenancy,duration_seconds
Sales_responsibleparty,Rent Type,earthquake_hazard_risk
Sales_percentdiminutioninvalue,Rent/SF/Yr,earthquake_zone_comments
Sales_diminutionsource,Average Weighted Rent,east_boundary
Sales_percentstigma,Pre-Leasing,eff_rent_per_mo
Sales_adjustmentcomments,Exp Year,eff_rent_per_year
Sales_internalcomments,Avg Rent-Direct (Industrial),effective_age
Sales_salenotes,Avg Rent-Direct (Office),effective_gross_income_multiplier
Sales_salecomments,Avg Rent-Direct (Retail),effective_rent_sf
Sales_priceperusableacre,Avg Rent-Sublet (Industrial),effective_rent_sf_mo
Sales_priceperusablelandsf,Avg Rent-Sublet (Office),effective_water_frontage
Sites_NumberOfParcels,Avg Rent-Sublet (Retail),egim
Sites_landuse,Direct Available Space,encumbrance_or_easement
Sites_acres,Direct Vacant Space,enrollment
Sites_landsf,Sublet Available Space,entry_fee_max
Sites_usableacres,Sublet Vacant Space,entry_fee_min
Sites_usablelandsf,Total Available Space (SF),environmental_concerns
Sites_UnusableAcres,Total Relet Space (SF),environmental_issues
Sites_UnusableLandSF,Total Sublet Space (SF),environmental_remarks
Sites_excessacres,Total Vacant Avail Relet Space (SF),environmental_status
Sites_excesslandsf,Total Vacant Avail Sublet Space (SF),equalization_ratio
Sites_SurplusAcres,Total Vacant Available,escalations
Sites_SurplusLandSF,Total New Space (SF),excess_land_adjustment
Sites_easementacres,Smallest Available Space,expenditures_after_sale_adjustment
Sites_easementlandsf,Max Building Contiguous Space,expense_growth_rate
Sites_buildablesf,Max Floor Contiguous Space,expense_reimbursements
Sites_landhectares,Direct Services,expense_stop
Sites_landsquaremeters,Sublet Services,exterior_wall
Sites_allowablefloorareasf,Office Space,exterior_wall_id
Sites_proposedsf,,far
Sites_landunits,,features
Sites_landunittype,,fema_map_date
Sites_landunitapprovedorzoned,,ff_and_e
Sites_roadfrontage,,ff_and_e_adjustment
Sites_primaryfrontagelf,,field_changed
Sites_primaryfrontagest,,field_name
Sites_secondaryfrontagelf,,field_value
Sites_secondaryfrontagest,,financing
Sites_tertiaryfrontagelf,,financing_terms_adjustment
Sites_tertiaryfrontagest,,financing_type
Sites_dimensions,,finish
Sites_waterfrontage,,finish_condition
Sites_effectivewaterfrontage,,fireplace_or_woodstove
Sites_depth,,flood_map_panel
Sites_access,,flood_zone
Sites_views,,floor
Sites_visibility,,floor_area_ratio
Sites_shape,,floor_level
Sites_topography,,foundation_id
Sites_corner,,foundation_type
Sites_utilities,,free_rent_months
Sites_allutilities,,front_set_back_distance
Sites_floodzone,,garage_parking_spaces
Sites_floodmappanel,,garage_type
Sites_femamapdate,,gba
Sites_withinfloodplainname,,gba_total
Sites_areainfloodzone,,gba_total_meters
Sites_earthquakehazardrisk,,geo_code
Sites_earthquakezonecomments,,geo_name
Sites_encumbranceoreasement,,geo_type
Sites_environmentalissues,,geography_id
Sites_drainage,,grantee
Sites_soiltype,,grantee_buyer
Sites_productivityindex,,grantor
Sites_tillableacres,,grantor_seller
Sites_percenttillable,,gross_building_area
Sites_wetlandstype,,heating_id
Sites_wetlandacres,,heating_type
Sites_percentwetlands,,highest_and_best_use
Sites_woodlandacres,,holding_period_years
Sites_otheracres,,home_site_acres
Sites_wasteacres,,hotel_flag
Sites_homesiteacres,,hotel_room_rev_multiplier
Sites_sitecomments,,id
Improvement_BuildingDescription,,implied_value
Improvement_noofbuildings,,improvement_assessment
Improvement_constructionclass,,improvement_comments
Improvement_buildingclass,,improvement_id
Improvement_perimeter,,improvement_subrecords_condition
Improvement_sourceforsfarea,,improvement_subrecords_construction
Improvement_noofofficeunits,,improvement_subrecords_cooling
Improvement_gbaoffice,,improvement_subrecords_deferredmaintance
Improvement_raoffice,,improvement_subrecords_docks
Improvement_usablearea,,improvement_subrecords_foundation
