Initial ERD Field Names,Updated ERD Field Names,LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
jurisdiction,mf_weighted_avg_rent_per_sf_per_mo,incExp_othersalaries,,incometarget,
landhectares,mf_weighted_avg_rent_per_sf_per_year,incExp_paintinganddecorating,,industrial_gba,
landscaping,mf_weighted_avg_rent_per_unit,incExp_payrolltaxes,,industrial_ra,
landsf,min_lot_area,incExp_payrolltotal,,ingestion_timestamp,
landsquaremeters,minimum_lot_area,incExp_percentagerent,,instance_type,Rent Roll Summary_instancetype
landtobuildingratio,monthly_or_daily_rent,incExp_pgi,,internal_comments,Sales_internalcomments
landunitapprovedorzoned,multifamily_amenities,incExp_pgipersf,,is_active,
landunits,multifamily_gba,incExp_pgiperunit,,is_confidential,Sales_confidential
landunittype,name,incExp_professionalservicesexp,,is_deleted,Sales_isdeleted
landuse,net_income_multiplier,incExp_repairsandmaintenance,,is_excel_entry,
landvalue,new_value,incExp_reserves,,is_ground_lease,Parcel_isgroundlease
landvaluepersf,no_of_bathrooms,incExp_sewerexpense,,is_lihtc,
lastrentincrease,no_of_baths,incExp_surveydate,,isexcel,Sales_isexcel
lat,no_of_bays,incExp_taxexpense,,jurisdiction,Zoning_jurisdiction
lease_comp_id,no_of_bedrooms,incExp_totalexpenses,,land_assessment,Assessment_landassessment
leaseconditions,no_of_beds,incExp_totalutilities,,land_hectares,Sites_landhectares
leasedate,no_of_buildings,incExp_trashexpense,,land_sf,Sites_SurplusLandSF
leaseexpiration,no_of_craneways,incExp_vacancy,,land_square_meters,Sites_landsquaremeters
leaseexpiredate,no_of_docks,incExp_vacancycost,,land_unit_approved_or_zoned,Sites_landunitapprovedorzoned
leasestart,no_of_elevators,incExp_vacancycostpersf,,land_unit_type,Sites_landunittype
leasestartdate,no_of_escalators,incExp_vacancycostperunit,,land_units,Sites_landunits
leasetenantimprovs,no_of_golf_holes,incExp_waterexpense,,land_use,Sites_landuse
leaseterm,no_of_half_baths,Parcel_address,,land_value,Sales_landvalue
leasetransactiontype,no_of_mf_bathrooms,Parcel_appraisalfile,,land_value_per_sf,
leasetype,no_of_multifamily_bedrooms,Parcel_appraisalusage,,last_rent_increase,Rent Roll_rentincreased
legaldescription,no_of_multifamily_rooms,Parcel_cbsa_id,,lat,Parcel_lat
lender,no_of_rooms,Parcel_cbsa_name,,lat_centroid,
lessor,no_of_seats,Parcel_censusblock,,lease_commencement_date,
lhoccupancy,no_of_spaces,Parcel_censustract,,lease_comp_id,
lhtc,no_of_stories,Parcel_city,,lease_concessions,
lightbox_id,no_of_tenants,Parcel_country,,lease_conditions,Rent Roll_leaseconditions
lng,no_of_truck_doors,Parcel_county,,lease_expiration_date,Rent Roll_leaseexpiredate
loadfactor,no_of_truck_doors_with_levelers,Parcel_createdby,,lease_options,
locationdescription,no_of_units,Parcel_eastboundary,,lease_start_date,Rent Roll_leasestartdate
managementcompany,north_boundary,Parcel_far,,lease_tenant_improvs,Rent Roll_leasetenantimprovs
market,notes,Parcel_id,,lease_term_months,Rent Roll_leaseterm
marketrentmax,number_of_parcels,Parcel_isgroundlease,,lease_transaction_type,Rent Roll_leasetransactiontype
marketrentmin,occupancy_type,Parcel_lat,,lease_type,Rent Roll_leasetype
marketrentmo,office_gba,Parcel_lng,,leasedate,Rent Roll_leasedate
marketrentsf,office_ra,Parcel_locationdescription,,leaseexpiration,
maxbuildheight,old_value,Parcel_market,,leaseexpiredate,
maxgrosslihtcrestrictedrent,opportunity_zone,Parcel_msa,,leasestart,
maxsitecoverage,ordinance_document,Parcel_municipality,,leaseterm,Rent Roll Summary_commleaseterms
medianhomevalue,ordinance_document_url,Parcel_name,,legal_description,Sales_legaldescription
medianhouseholdincome,original_list_price,Parcel_name,,lender,Sales_lender
merge_timestamp,original_lp_percent_diff,Parcel_neighborhood,,lender_name,
merged_by_user_or_system,other_acres,Parcel_neighborhoodcomments,,lessor,Rent Roll_lessor
mfamenities,other_adjustment,Parcel_northboundary,,lessor_name,
mfbrmax,other_assessment,Parcel_opportunityzone,,lh_occupancy,Improvement_lhoccupancy
mfbrmin,other_db_refs,Parcel_otherdbrefs,,lhtc,
mfcarportfeemonthly,other_gba,Parcel_owner,,lightbox_created_by,
mfgaragefeemonthly,other_ra,Parcel_parcelcomments,,lightbox_id,
mfleasecomments,owner,Parcel_parcelverificationdata,,lightbox_timestamp,
mfleasenotes,parcel_comments,Parcel_propertymajortype,,lng,Parcel_lng
mfleasesurveydate,parcel_id,Parcel_propertysubtype,,lng_centroid,
mfoccupancy,parcel_verification_data,Parcel_propertytype,,locationdescription,Parcel_locationdescription
mfrentconcessions,parent_geo_id,Parcel_readyforuse,,major_type,
mfrentpermomax,parking,Parcel_southboundary,,management_company,
mfrentpermomin,parking_adequacy,Parcel_state,,market,Parcel_market
mfrentpersfmax,parking_adequacy_id,Parcel_submarket,,market_rent_max,
mfrentpersfmin,parking_comments,Parcel_supportingfiles,,market_rent_min,
mfrentpersfpermomax,parking_condition,Parcel_timestamp,,market_rent_per_mo,
mfrentpersfpermomin,parking_condition_id,Parcel_townshiprange,,market_rent_per_sf,
mfrenttype,parking_ratio_gba,Parcel_westboundary,,marketrentmo,
mfsizesfmax,parking_ratio_ra,Parcel_zip,,marketrentsf,
mfsizesfmin,parking_ratio_unit,Rent Roll Summary_anchors,,max_build_height,Zoning_maxbuildheight
mfsourcenotes,parking_requirement,Rent Roll Summary_commleasecomments,,max_gross_lihtc_restricted_rent,
mfsurveyedunitcounttotal,parking_type,Rent Roll Summary_commleasenotes,,max_site_coverage,Zoning_maxsitecoverage
mftotalannualrent,parking_type_id,Rent Roll Summary_CommLeaseNotes,,median_hh_income,
mftotalrentpermonth,per_pupil_spending,Rent Roll Summary_commleasesurveydate,,median_home_value,Sites_medianhomevalue
mfvacantunitscount,percent_diminution_in_value,Rent Roll Summary_commleaseterms,,median_household_income,Sites_medianhouseholdincome
mfweightedavgrentpersfpermo,percent_office_ul,Rent Roll Summary_CommLeaseType,,merge_timestamp,Parcel_timestamp
mfweightedavgrentpersfperyear,percent_rent,Rent Roll Summary_commrentconcessions,,merged_by_user_or_system,
mfweightedavgrentperunit,percent_stigma,Rent Roll Summary_commrentpersfmax,,mf_br_max,
minimumlotarea,percent_tillable,Rent Roll Summary_commrentpersfmin,,mf_br_min,
minlotarea,percent_wetlands,Rent Roll Summary_commsizemax,,mf_carport_fee_monthly,
monthlyordailyrent,perimeter,Rent Roll Summary_commsizemin,,mf_garage_fee_monthly,
msa,perimeter_sf,Rent Roll Summary_commvacancy,,mf_lease_comments,
multifamilyamenities,permitted_uses,Rent Roll Summary_commverificationsource,,mf_lease_notes,Rent Roll Summary_commleasenotes
multifamilygba,population,Rent Roll Summary_confidential,,mf_lease_survey_date,Rent Roll_commleasesurveydate
municipality,porch_or_deck,Rent Roll Summary_escalations,,mf_occupancy,
name,potential_gross_income_multiplier,Rent Roll Summary_ID,,mf_rent_concessions,
neighborhood,price_adjustment,Rent Roll Summary_instancetype,,mf_rent_per_mo_max,
neighborhoodcomments,price_per_acre,Rent Roll Summary_nooftenants,,mf_rent_per_mo_min,
net_rentable_area,price_per_bay,Rent Roll Summary_rentpersfpermomax,,mf_rent_per_sf_max,
new_value,price_per_bed,Rent Roll Summary_rentpersfpermomin,,mf_rent_per_sf_min,
nim,price_per_bedroom,Rent Roll Summary_sfleased,,mf_rent_per_sf_per_mo_max,
noofbathrooms,price_per_buildable_sf,Rent Roll Summary_shadowanchors,,mf_rent_per_sf_per_mo_min,
noofbays,price_per_far,Rent Roll Summary_tenant,,mf_rent_type,
noofbedrooms,price_per_gba_meters,Rent Roll_anchortype,,mf_size_sf_max,
noofbeds,price_per_land_hectares,Rent Roll_baserentpermo,,mf_size_sf_min,
noofbuildings,price_per_land_sf,Rent Roll_baserentperyear,,mf_source_notes,
noofelevators,price_per_land_sqm,Rent Roll_baserentsf,,mf_surveyed_unit_count_total,
noofescalators,price_per_land_unit,Rent Roll_baserentsfmo,,mf_total_annual_rent,
noofgolfholes,price_per_mf_bedroom,Rent Roll_comments,,mf_total_rent_per_month,
noofhalfbaths,price_per_mf_room,Rent Roll_commleasesurveydate,,mf_unit_amenities,
noofmfbathrooms,price_per_primary_frontage,Rent Roll_concessions,,mf_vacant_units_count,
noofmultifamilybedrooms,price_per_ra,Rent Roll_coststofinish,,mf_weighted_avg_rent_per_sf_per_mo,
noofmultifamilyrooms,price_per_ra_meters,Rent Roll_CurrentRentPerMo,,mf_weighted_avg_rent_per_sf_per_year,
noofrooms,price_per_room,Rent Roll_datasource,,mf_weighted_avg_rent_per_unit,
noofseats,price_per_sf,Rent Roll_effectiverentsf,,mfamenities,
noofspaces,price_per_space,Rent Roll_effectiverentsfmo,,min_lot_area,Zoning_Subrecords_minlotarea
noofstories,price_per_unit,Rent Roll_effrentpermo,,minimum_lot_area,Zoning_minimumlotarea
nooftenants,price_per_usable_acre,Rent Roll_effrentperyear,,monthly_or_daily_rent,
nooftruckdoors,price_per_usable_land_sf,Rent Roll_escalations,,msa,Parcel_msa
nooftruckdoorswithlevelers,primary_frontage_lf,Rent Roll_expensereimbursements,,multifamily_gba,
noofunits,primary_frontage_st,Rent Roll_expensestop,,municipality,Parcel_municipality
northboundary,product_segment,Rent Roll_finish,,name,Parcel_name
number_of_units,productivity_index,Rent Roll_floorlevel,,neighborhood,Parcel_neighborhood
numberofparcels,project_amenities,Rent Roll_freerentmonths,,neighborhoodcomments,Parcel_neighborhoodcomments
occupancytype,project_id,Rent Roll_id,,net_income_multiplier,
officegba,project_name,Rent Roll_leaseconditions,,net_rentable_area,Improvement_Subrecords_rentablearea
officera,project_property_id,Rent Roll_leasedate,,new_value,
old_value,project_style,Rent Roll_leaseexpiredate,,nim,Saleinfo_NIM
opportunityzone,property_assessment_id,Rent Roll_leasestartdate,,no_of_baths,
options,property_id,Rent Roll_leasetenantimprovs,,no_of_buildings,Improvement_noofbuildings
ordinancedocument,property_included,Rent Roll_leaseterm,,no_of_craneways,
originallistprice,property_rights,Rent Roll_leasetransactiontype,,no_of_docks,
originallppercentdiff,property_type,Rent Roll_leasetype,,no_of_mf_bathrooms,
otheracres,property_type_id,Rent Roll_lessor,,no_of_multifamily_bedrooms,
otheradjustment,property_zoning_id,Rent Roll_options,,no_of_multifamily_rooms,
otherdbrefs,proportion_renovated,Rent Roll_percentofficeul,,no_of_tenants,Rent Roll Summary_nooftenants
othergba,proposed_sf,Rent Roll_percentrent,,north_boundary,Parcel_northboundary
otherra,proposed_units,Rent Roll_rentbasis,,notes,
owner,proposed_use,Rent Roll_rentincreased,,number_of_parcels,
parcel_id,quality_id,Rent Roll_rentperm2,,number_of_units,
parcelcomments,ra_total,Rent Roll_rentperm2permo,,occupancy_type,
parcelid,ra_total_meters,Rent Roll_rentpersfpermo,,office_gba,
parcelverificationdata,rail_service,Rent Roll_sizem2,,office_ra,
parking,ready_for_use,Rent Roll_suite,,old_value,
parkingadequacy,rear_yard_distance,Rent Roll_tenant,,opportunity_zone,Parcel_opportunityzone
parkingadequacyid,recording_date,Rent Roll_tenantcam,,options,Rent Roll_options
parkingcomments,remaining_economic_life,Rent Roll_tenantparking,,ordinance_document,Zoning_OrdinanceDocument
parkingcondition,renovations_description,Rent Roll_typeoruseofspace,,ordinance_document_url,
parkingconditionid,rent_basis,Rent Roll_unitsf,,original_list_price,Sales_originallistprice
parkingratiogba,rent_comp_id,Rent Roll_verificationdate,,original_lp_percent_diff,Sales_originallppercentdiff
parkingratiora,rent_escalations,Rent Roll_verificationsource,,other_acres,Sites_otheracres
parkingratiounit,rent_increase_percent,Saleinfo_NIM,,other_adjustment,Sales_otheradjustment
parkingrequirement,rent_last_increased,Sales_activestatus,,other_assessment,Assessment_otherassessment
parkingtype,rent_per_mo,Sales_adjustmentcomments,,other_db_refs,Parcel_otherdbrefs
parkingtypeid,rent_per_sf_per_mo,Sales_appraisaldate,,other_gba,
percentdiminutioninvalue,rent_per_sf_per_mo_max,Sales_appraisedvalue,,other_ra,
percentofficeul,rent_per_sf_per_mo_min,Sales_bookpageorrefdoc,,owner,Parcel_owner
percentrent,rent_per_sq_meter,Sales_businessvalueadjustment,,parcel_comments,Sales_salecomments
percentstigma,rent_per_sq_meter_per_mo,Sales_buyertype,,parcel_id,Rent Roll Summary_ID
percenttillable,rent_roll_summary_commleasenotes,Sales_caprate,,parcel_verification_data,Rent Roll_verificationdate
percentwetlands,rentable_area,Sales_caprate,,parent_geo_id,
perimeter,residential_amenities,Sales_cleanupcosts,,parking_adequacy_id,
perimetersf,residential_design,Sales_conditionsofsale,,parking_condition_id,
permitteduses,responsible_party,Sales_conditionsofsaleadjustment,,parking_ratio_gba,
pgim,retail_gba,Sales_confidential,,parking_ratio_ra,
porchordeck,retail_gla,Sales_currentlistprice,,parking_ratio_unit,Improvement_parkingratiounit
price,rev_par,Sales_currentlppercentdiff,,parking_requirement,Zoning_parkingrequirement
priceactual,risk_profile,Sales_currentuse,,parking_type_id,
priceadjustment,road_frontage,Sales_datasource,,per_pupil_spending,
priceperacre,roof_cover,Sales_daysonmarket,,percent_diminution_in_value,Sales_percentdiminutioninvalue
priceperbay,roof_cover_id,Sales_diminutionsource,,percent_office_ul,Rent Roll_percentofficeul
priceperbed,roof_type,Sales_discountrate,,percent_rent,Rent Roll_percentrent
priceperbedroom,roof_type_id,Sales_egim,,percent_stigma,Sales_percentstigma
priceperbuildablesf,sale_comments,Sales_environmentalconcerns,,percent_tillable,Sites_percenttillable
priceperfar,sale_comp_id,Sales_environmentalremarks,,percent_wetlands,Sites_percentwetlands
pricepergbameters,sale_date,Sales_environmentalstatus,,perimeter,Improvement_perimeter
priceperlandhectares,sale_notes,Sales_excesslandadjustment,,perimeter_sf,
priceperlandsf,sale_price,Sales_expendituresaftersaleadjustment,,permitted_uses,Zoning_PermittedUses
priceperlandsqm,sale_supporting_files,Sales_expensegrowthrate,,pgim,Sales_pgim
priceperlandunit,school_district_id,Sales_ffandeadjustment,,population,
pricepermfbedroom,secondary_frontage_lf,Sales_financing,,potential_gross_income_multiplier,
pricepermfroom,secondary_frontage_st,Sales_financingtermsadjustment,,price,Sales_price
priceperprimaryfrontage,secondary_traffic_count,Sales_finishcondition,,price_adjustment,Sales_priceadjustment
priceperra,session_end,Sales_grantee,,price_per_acre,Sales_priceperacre
priceperrameters,session_start,Sales_grantor,,price_per_bay,Sales_priceperra
priceperroom,setback_distance,Sales_highestandbestuse,,price_per_bed,
pricepersf,sf_leased,Sales_holdingperiodyears,,price_per_bedroom,
priceperspace,sf_size_max,Sales_hotelroomrevmultiplier,,price_per_buildable_sf,Sales_priceperbuildablesf
priceperunit,sf_size_min,Sales_id,,price_per_far,Sales_priceperfar
priceperusableacre,shadow_anchors,Sales_improvementvalue,,price_per_gba_meters,
priceperusablelandsf,shape,Sales_improvementvaluepersf,,price_per_land_hectares,Sales_priceperlandhectares
primaryfrontagelf,side_yard_distance,Sales_incomegrowth,,price_per_land_sf,
primaryfrontagest,site_acres,Sales_incomegrowthrate,,price_per_land_sqm,Sales_priceperlandsqm
productivityindex,site_area_id,Sales_internalcomments,,price_per_land_unit,Sales_priceperlandunit
productsegment,site_comments,Sales_isdeleted,,price_per_mf_bedroom,
project_id,site_dimensions,Sales_isexcel,,price_per_mf_room,
project_name,site_drainage,Sales_landvalue,,price_per_primary_frontage,Sales_priceperprimaryfrontage
project_property_id,site_id,Sales_landvaluepersf,,price_per_ra,
projectamenities,site_landscaping,Sales_legaldescription,,price_per_ra_meters,
projectstyle,site_topography,Sales_lender,,price_per_room,
property_id,site_utilities,Sales_nim,,price_per_sf,
property_zoning_id,site_views,Sales_originallistprice,,price_per_space,
propertyincluded,site_visibility,Sales_originallppercentdiff,,price_per_unit,
propertymajortype,size_sq_meters,Sales_otheradjustment,,price_per_usable_acre,Sales_priceperusableacre
propertyrights,soil_type,Sales_percentdiminutioninvalue,,price_per_usable_land_sf,Sales_priceperusablelandsf
propertysubtype,source_for_sf_area,Sales_percentstigma,,priceactual,Sales_priceactual
propertytype,source_system,Sales_pgim,,primary_frontage_lf,Sites_primaryfrontagelf
proportionrenovated,south_boundary,Sales_price,,primary_frontage_st,Sites_primaryfrontagest
proposedsf,space_finish,Sales_priceactual,,product_segment,Improvement_productsegment
proposedunits,special_assessments,Sales_priceadjustment,,productivity_index,Sites_productivityindex
proposeduse,sprinkler_type,Sales_priceperacre,,project_amenities,
quality,sprinklers_id,Sales_priceperbuildablesf,,project_id,
qualityid,square_feet,Sales_priceperfar,,project_name,
railservice,status,Sales_pricepergbameters,,project_property_id,
ratotal,storage_fee,Sales_priceperlandhectares,,project_style,
ratotalmeters,student_teacher_ratio,Sales_priceperlandsf,,property_assessment_id,
readyforuse,sub_type,Sales_priceperlandsqm,,property_id,
rearyarddistance,suite_number,Sales_priceperlandunit,,property_included,Sales_propertyincluded
recordingdate,supporting_files,Sales_priceperprimaryfrontage,,property_rights,Sales_propertyrights
remainingeconomiclife,surface_parking_spaces,Sales_priceperra,,property_type,Parcel_propertytype
renovations,tax_id,Sales_priceperrameters,,property_type_id,Parcel_propertysubtype
rent_comp_id,tax_rate,Sales_pricepersf,,property_zoning_id,
rent_roll_summary_commleasenotes,taxing_authority,Sales_priceperusableacre,,propertymajortype,Parcel_propertymajortype
rentablearea,tenant_cam,Sales_priceperusableacre,,propertysubtype,
rentbasis,tenant_improvements,Sales_priceperusablelandsf,,proposed_sf,
rentincreased,tenant_name,Sales_propertyincluded,,proposed_units,
rentincreasepercent,tenant_parking,Sales_propertyrights,,proposed_use,Sales_proposeduse
rentperm2,tenant_profile,Sales_proposeduse,,quality_id,Improvement_Subrecords_qualityid
rentperm2permo,terminal_cap_rate,Sales_recordingdate,,ra_total,
rentpermo,tertiary_frontage_lf,Sales_responsibleparty,,rail_service,
rentpersfpermo,tertiary_frontage_st,Sales_riskprofile,,ready_for_use,Parcel_readyforuse
rentpersfpermomax,tertiary_traffic_count,Sales_salecomments,,rear_yard_distance,Zoning_rearyarddistance
rentpersfpermomin,tillable_acres,Sales_saledate,,recording_date,Sales_recordingdate
residentialamenities,time_log_id,Sales_salenotes,,renovations_description,
residentialdesign,tos_cap_rate,Sales_salesupportingfiles,,rent_basis,Rent Roll_rentbasis
responsibleparty,tos_effective_age,Sales_terminalcaprate,,rent_comp_id,
retailgba,tos_egim,Sales_toscaprate,,rent_escalations,Rent Roll_escalations
retailgla,tos_noi,Sales_toseffectiveage,,rent_increase_percent,
revpar,tos_number_of_tenants,Sales_tosnoi,,rent_last_increased,
riskprofile,tos_occupancy_rate,Sales_tosnumberoftenants,,rent_per_mo,Rent Roll_rentperm2
roadfrontage,tos_price_per_rsf,Sales_tosoccupancyrate,,rent_per_sf_per_mo,
roofcover,tos_price_per_useable_acre_land,Sales_tospriceperrsf,,rent_per_sf_per_mo_max,Rent Roll Summary_rentpersfpermomax
roofcoverid,tos_price_per_useable_sf_land,Sales_tospriceperuseableacreland,,rent_per_sf_per_mo_min,Rent Roll Summary_rentpersfpermomin
rooftype,tos_tenancy_type,Sales_tospriceperuseablesfland,,rent_per_sq_meter,
rooftypeid,tos_vacancy_rate,Sales_tostenancytype,,rent_per_sq_meter_per_mo,
rooms,tos_weighted_avg_lease_term,Sales_tosvacancyrate,,rent_roll_summary_commleasenotes,
sale_comp_id,total_assessment,Sales_tosweightedaverageleaseterm,,rentable_area,
salecomments,total_economic_life,Sales_transactiontype,,rentincreased,
saledate,total_market_rent,Sales_typeofcontamination,,rentperm2,
salenotes,total_taxes,Sales_verificationdate,,rentperm2permo,Rent Roll_rentperm2permo
salesupportingfiles,traffic_count,Sales_verificationphone,,responsible_party,Sales_responsibleparty
schooldistrict,traffic_survey_date,Sales_verificationsource,,retail_gba,
secondaryfrontagelf,transaction_type,Sites_access,,retail_gla,
secondaryfrontagest,type_of_contamination,Sites_acres,,rev_par,
secondarytrafficcount,type_or_use_of_space,Sites_allowablefloorareasf,,risk_profile,Sales_riskprofile
session_end,typical_bay_depth,Sites_allutilities,,road_frontage,Sites_roadfrontage
session_start,unit_category,Sites_areainfloodzone,,roof_cover_id,Improvement_Subrecords_roofcoverid
setbackdistance,unit_count,Sites_buildablesf,,roof_type_id,Improvement_Subrecords_rooftypeid
sfleased,unit_depth_ft,Sites_corner,,rooms,
sfsizemax,unit_floor,Sites_demographicssurveydate,,sale_comments,Sites_sitecomments
sfsizemin,unit_height_ft,Sites_depth,,sale_comp_id,
shadowanchors,unit_mix_id,Sites_dimensions,,sale_date,Sales_saledate
shalcommunityfee,unit_sf,Sites_drainage,,sale_notes,Sales_salenotes
shalentryfee,unit_type,Sites_earthquakehazardrisk,,sale_price,
shaloccupancypercentage,unit_width_ft,Sites_earthquakezonecomments,,sale_supporting_files,Sales_salesupportingfiles
shalsecondpersonfeemonthly,updated_at,Sites_easementacres,,school_district_id,
shalunitcount,updated_by_user_id,Sites_easementlandsf,,schooldistrict,
shape,usable_area,Sites_effectivewaterfrontage,,secondary_frontage_lf,Sites_secondaryfrontagelf
shcaretypecomments,user_id,Sites_encumbranceoreasement,,secondary_frontage_st,Sites_secondaryfrontagest
shilcommunityfee,utilities_paid_by_owner,Sites_environmentalissues,,secondary_traffic_count,Sites_secondarytrafficcount
shilentryfee,utility_allowance,Sites_excessacres,,session_end,
shiloccupancypercentage,vacancy_rate,Sites_excesslandsf,,session_start,
shilsecondpersonfeemonthly,vacant_units,Sites_femamapdate,,setback_distance,Zoning_setbackdistance
shilunitcount,verification_date,Sites_floodmappanel,,sf_leased,
shmccommunityfee,verification_phone,Sites_floodzone,,sf_size_max,
shmcentryfee,verification_source,Sites_homesiteacres,,sf_size_min,
shmcoccupancypercentage,verificationdate,Sites_landhectares,,shadow_anchors,Rent Roll Summary_shadowanchors
shmcsecondpersonfeemonthly,waste_acres,Sites_landsf,,shalcommunityfee,
shmcunitcount,water_frontage,Sites_landsquaremeters,,shalentryfee,
shothercommunityfee,west_boundary,Sites_landunitapprovedorzoned,,shaloccupancypercentage,
shotherentryfee,wetland_acres,Sites_landunits,,shalsecondpersonfeemonthly,
shotheroccupancypercentage,wetlands_type,Sites_landunittype,,shalunitcount,
shothersecondpersonfeemonthly,within_flood_plain,Sites_landuse,,shape,Sites_shape
shotherunitcount,woodland_acres,Sites_medianhomevalue,,shcaretypecomments,
shpayormedicaidpercentage,year_built,Sites_medianhouseholdincome,,shilcommunityfee,
shpayormedicarepercentage,year_built_numeric,Sites_NumberOfParcels,,shilentryfee,
shpayorotherpercentage,zoned_density,Sites_otheracres,,shilunitcount,
shpayorprivatepaypercentage,zoning_authority,Sites_percenttillable,,shmccommunityfee,
shpayorvapercentage,zoning_code,Sites_percentwetlands,,shmcentryfee,
shsncommunityfee,zoning_designation,Sites_primaryfrontagelf,,shmcoccupancypercentage,
shsnentryfee,zoning_district,Sites_primaryfrontagest,,shmcsecondpersonfeemonthly,
shsnoccupancypercentage,zoning_id,Sites_productivityindex,,shmcunitcount,
shsnsecondpersonfeemonthly,zoning_jurisdiction,Sites_proposedsf,,shothercommunityfee,
shsnunitcount,zoning_notes,Sites_roadfrontage,,shotherentryfee,
sideyarddistance,zoning_summary,Sites_secondaryfrontagelf,,shotheroccupancypercentage,
site_area_id,zoning_type,Sites_secondaryfrontagest,,shothersecondpersonfeemonthly,
site_id,,Sites_secondarytrafficcount,,shotherunitcount,
sitecomments,,Sites_shape,,shpayormedicaidpercentage,
sizem2,,Sites_sitecomments,,shpayormedicarepercentage,
soiltype,,Sites_soiltype,,shpayorotherpercentage,
source_system,,Sites_Subparcels_acres,,shpayorprivatepaypercentage,
sourceforsfarea,,Sites_Subparcels_id,,shpayorvapercentage,
southboundary,,Sites_Subparcels_identification,,shsncommunityfee,
sprinklers,,Sites_Subparcels_landsf,,shsnentryfee,
sprinklersid,,Sites_Subparcels_parcelid,,shsnoccupancypercentage,
square_feet,,Sites_Subparcels_subparcelcomments,,shsnsecondpersonfeemonthly,
state,,Sites_SurplusAcres,,shsnunitcount,
status,,Sites_SurplusLandSF,,side_yard_distance,Zoning_sideyarddistance
storagefee,,Sites_tertiaryfrontagelf,,site_acres,Sites_wasteacres
studentteacherratio,,Sites_tertiaryfrontagest,,site_area_id,
submarket,,Sites_tertiarytrafficcount,,site_comments,
suite,,Sites_tillableacres,,site_dimensions,
summary,,Sites_topography,,site_drainage,
supportingfiles,,Sites_trafficcount,,site_id,
surfaceparkingspaces,,Sites_trafficsurveydate,,site_landscaping,Improvement_Subrecords_landscaping
tenant,,Sites_UnusableAcres,,site_topography,Sites_topography
tenantcam,,Sites_UnusableLandSF,,site_utilities,
tenantimprovements,,Sites_usableacres,,site_views,
tenantparking,,Sites_usablelandsf,,site_visibility,Sites_visibility
tenantprofile,,Sites_utilities,,size_sq_meters,
terminalcaprate,,Sites_views,,sizem2,Rent Roll_sizem2
tertiaryfrontagelf,,Sites_visibility,,soil_type,Sites_soiltype
tertiaryfrontagest,,Sites_wasteacres,,source_system,
tertiarytrafficcount,,Sites_waterfrontage,,south_boundary,Parcel_southboundary
tillableacres,,Sites_wetlandacres,,space_finish,
time_log_id,,Sites_wetlandstype,,special_assessments,Assessment_specialassessments
timestamp,,Sites_withinfloodplainname,,sprinkler_type,Improvement_Subrecords_sprinklers
topography,,Sites_woodlandacres,,sprinklers_id,Improvement_Subrecords_sprinklersid
toscaprate,,Zoning_comments,,square_feet,
toseffectiveage,,Zoning_district,,state,Parcel_state
tosegim,,Zoning_jurisdiction,,status,
tosnoi,,Zoning_maxbuildheight,,storage_fee,
tosnumberoftenants,,Zoning_maxsitecoverage,,student_teacher_ratio,
tosoccupancyrate,,Zoning_minimumlotarea,,sub_type,
tospriceperrsf,,Zoning_OrdinanceDocument,,submarket,Parcel_submarket
tospriceperuseableacreland,,Zoning_parkingrequirement,,suite,Rent Roll_suite
tospriceperuseablesfland,,Zoning_PermittedUses,,suite_number,
tostenancytype,,Zoning_rearyarddistance,,supporting_files,Parcel_supportingfiles
tosvacancyrate,,Zoning_setbackdistance,,tax_id,Assessment_taxid
tosweightedaverageleaseterm,,Zoning_sideyarddistance,,tax_rate,Assessment_taxrate
totaleconomiclife,,Zoning_Subrecords_authority,,taxing_authority,Assessment_taxingauthority
totalmarketrent,,Zoning_Subrecords_backyarddistance,,tenant,Rent Roll Summary_tenant
townshiprange,,Zoning_Subrecords_comments,,tenant_cam,incExp_cam
trafficcount,,Zoning_Subrecords_district,,tenant_name,Rent Roll_tenantcam
trafficsurveydate,,Zoning_Subrecords_frontsetbackdistance,,tenant_parking,Rent Roll_tenantparking
transactiontype,,Zoning_Subrecords_id,,tenant_profile,
type,,Zoning_Subrecords_maxbuildheight,,terminal_cap_rate,Sales_terminalcaprate
typeofcontamination,,Zoning_Subrecords_maxsitecoverage,,tertiary_frontage_lf,Sites_tertiaryfrontagelf
typeoruseofspace,,Zoning_Subrecords_minlotarea,,tertiary_frontage_st,Sites_tertiaryfrontagest
typicalbaydepth,,Zoning_Subrecords_NA_jurisdiction,,tertiary_traffic_count,Sites_tertiarytrafficcount
unit_mix_id,,Zoning_Subrecords_ordinancedocument,,tillable_acres,Sites_tillableacres
unitcount,,Zoning_Subrecords_permitteduses,,time_log_id,
unitdepth,,Zoning_Subrecords_sideyarddistance,,timestamp,
unitheight,,Zoning_Subrecords_zoneddensity,,topography,
unitsf,,Zoning_Subrecords_zoning,,tos_cap_rate,
unittype,,Zoning_Subrecords_Zoningid,,tos_effective_age,Sales_toseffectiveage
unitwidth,,Zoning_summary,,tos_egim,
usablearea,,Zoning_type,,tos_noi,Sales_tosnoi
use_mix_id,,Zoning_zoneddensity,,tos_number_of_tenants,Sales_tosnumberoftenants
use_type,,Zoning_zoningcode,,tos_occupancy_rate,Sales_tosoccupancyrate
