Initial ERD Field Names,Updated ERD Field Names,LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
commrentconcessions,comm_size_min,Assessment_taxesperram2,LEED Certified,censusblock,Parcel_censusblock
commrentpersfmax,comm_vacancy_rate,Assessment_taxespersfgba,Longitude,censustract,Parcel_censustract
commrentpersfmin,comm_verification_source,Assessment_taxesperunit,Market Name,city,Parcel_city
commvacancy,conditions_of_sale,Assessment_taxrateper,Market Segment,comm_lease_comments,Rent Roll Summary_commleasecomments
commsizemax,commercial_survey_id,Assessment_taxid,Max Building Contiguous Space,clean_up_costs,Sales_cleanupcosts
commsizemin,community_fee_max,Assessment_taxingauthority,Max Floor Contiguous Space,clear_height,Improvement_Subrecords_clearheight
communityfeemax,community_fee_min,Assessment_taxrate,Month Built,client_name,
communityfeemin,condition_id,Assessment_taxratecode,Month Renovated,column_spacing,Improvement_columnspacing
commverificationsource,conditions_of_sale_adjustment,Assessment_taxyear,Number Of Elevators,comm_lease_notes,Rent Roll Summary_CommLeaseNotes
condition,construction_type,Improvement_adr,Number Of Parking Spaces,comm_lease_terms,Rent Roll Summary_CommLeaseType
conditionid,contract_rent_max,Improvement_amenities,Number Of Stories,comm_lease_type,
conditionsofsale,contract_rent_min,Improvement_ancillarybuildings,Office Space,comm_rent_concessions,Rent Roll Summary_commrentconcessions
conditionsofsaleadjustment,cooling_id,Improvement_basementsize,Operation Type,comm_rent_per_sf_max,
confidential,cooling_type,Improvement_basementuseandfinish,Operational Status,comm_rent_per_sf_min,
construction,corner,Improvement_buildingclass,Ops Expense,comm_size_max,
constructionclass,costs_to_finish,Improvement_BuildingDescription,Ops Expense Per SF,comm_size_min,
contractrentmax,covered_parking_spaces,Improvement_ceilingheight,Owner Address,comm_vacancy_rate,
contractrentmin,created_at,Improvement_columnspacing,Owner City State Zip,comm_verification_source,Rent Roll_verificationsource
cooling,created_by_user_id,Improvement_condition,Owner Contact,commercial_survey_id,
coolingid,current_list_price,Improvement_construction,Owner Name,community_fee_max,
corner,current_lp_percent_diff,Improvement_constructionclass,Owner Phone,community_fee_min,
coststofinish,current_rent_per_mo,Improvement_cooling,Parcel Number 1(Min),commvacancy,Rent Roll Summary_commvacancy
country,current_use,Improvement_coveredparkingspaces,Parcel Number 2(Max),concessions,Rent Roll_concessions
county,custom_fields,Improvement_deferredmaintance,Parent Company,condition_id,Improvement_Subrecords_conditionid
coveredparkingspaces,daily_rate_per_unit,Improvement_designappeal,Parking Ratio,conditions_of_sale,Improvement_condition
craneways,daily_rate_per_unit_max,Improvement_effectiveage,Parking Spaces/Unit,conditions_of_sale_adjustment,Sales_conditionsofsaleadjustment
created_at,daily_rate_per_unit_min,Improvement_exteriorwall,Percent Leased,confidential,Rent Roll Summary_confidential
createdby,days_on_market,Improvement_ffande,Pre-Leasing,construction_type,Improvement_construction
currentlistprice,deferred_maintenance,Improvement_fireplaceorwoodstove,Primary Agent Name,contract_rent_max,
currentlppercentdiff,demographics_survey_date,Improvement_foundation,Primary Corridors,contract_rent_min,
currentrentpermo,depth,Improvement_garage,Property Address,cooling_id,Improvement_Subrecords_coolingid
currentuse,design_appeal,Improvement_garageparkingspaces,Property Location,cooling_type,Improvement_cooling
dailyrateperunit,diminution_source,Improvement_gbaother,Property Manager Address,corner,Sites_corner
dailyrateperunitmax,discount_rate,Improvement_gbaothermeters,Property Manager City State Zip,costs_to_finish,Rent Roll_coststofinish
dailyrateperunitmin,district_name,Improvement_gbaretail,Property Manager Contact,country,Parcel_country
datasource,district_url,Improvement_gbaretailMeters,Property Manager Name,county,Parcel_county
daysonmarket,duration_seconds,Improvement_gbatotal,Property Manager Phone,covered_parking_spaces,Improvement_coveredparkingspaces
deferredmaintance,earthquake_hazard_risk,Improvement_gbatotalmeters,Property Name,craneways,
demographicssurveydate,earthquake_zone_comments,Improvement_heating,PropertyID,created_at,
depth,east_boundary,Improvement_hotelflag,PropertyType,created_by_user_id,
designappeal,eff_rent_per_mo,Improvement_improvmentcomments,Proposed Land Use,createdby,Parcel_createdby
diminutionsource,effective_age,Improvement_landtobuildingratio,RBA,current_lp_percent_diff,Sales_currentlppercentdiff
discountrate,effective_gross_income_multiplier,Improvement_lhoccupancy,Recorded Owner Address,current_rent_per_mo,Rent Roll_CurrentRentPerMo
district,effective_rent_sf,Improvement_noofbuildings,Recorded Owner City State Zip,current_use,Sales_currentuse
districtspending,effective_rent_sf_mo,Improvement_noofelevators,Recorded Owner Contact,custom_fields,
districturl,effective_water_frontage,Improvement_noofescalators,Recorded Owner Name,daily_rate_per_unit,
docks,encumbrance_or_easement,Improvement_noofgolfholes,Recorded Owner Phone,daily_rate_per_unit_max,
drainage,enrollment,Improvement_noofotherunits,Rent Type,daily_rate_per_unit_min,
duration_seconds,entry_fee_max,Improvement_noofretailunits,Rent/SF/Yr,data_source,Rent Roll_datasource
earthquakehazardrisk,entry_fee_min,Improvement_noofseats,Sale Company Address,days_on_market,Sales_daysonmarket
earthquakezonecomments,environmental_concerns,Improvement_noofstories,Sale Company City State Zip,deferred_maintenance,Improvement_deferredmaintance
