CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
Total Available Space (SF),entry_fee_min,
Total Buildings,environmental_concerns,Sales_environmentalconcerns
Total New Space (SF),environmental_issues,Sites_environmentalissues
Total Relet Space (SF),environmental_remarks,Sales_environmentalremarks
Total Sublet Space (SF),environmental_status,Sales_environmentalstatus
Total Vacant Avail Relet Space (SF),equalization_ratio,Assessment_equalizationratio
Total Vacant Avail Sublet Space (SF),escalations,Rent Roll Summary_escalations
Total Vacant Available,excess_land_adjustment,Sales_excesslandadjustment
True Owner Address,expenditures_after_sale_adjustment,Sales_expendituresaftersaleadjustment
True Owner City State Zip,expense_growth_rate,Sales_expensegrowthrate
True Owner Contact,expense_reimbursements,Rent Roll_expensereimbursements
True Owner Name,expense_stop,Rent Roll_expensestop
True Owner Phone,exterior_wall,Improvement_exteriorwall
Typical Floor Size,exterior_wall_id,Improvement_Subrecords_exteriorwallid
University,far,Parcel_far
Vacancy %,features,Improvement_features
Water,fema_map_date,Sites_femamapdate
Year Built,ff_and_e,
Year Renovated,ff_and_e_adjustment,Sales_ffandeadjustment
Zip,field_changed,
Zoning,field_name,
,construction_class,Improvement_constructionclass
,current_list_price,Sales_currentlistprice
,field_value,
,financing,Sales_financing
,financing_terms_adjustment,Sales_financingtermsadjustment
,financing_type,
,finish,Rent Roll_finish
,finish_condition,Sales_finishcondition
,fireplace_or_woodstove,Improvement_fireplaceorwoodstove
,flood_map_panel,Sites_floodmappanel
,flood_zone,Sites_floodzone
,floor,
,floor_area_ratio,
,floor_level,Rent Roll_floorlevel
,foundation_id,Improvement_Subrecords_foundationid
,foundation_type,Improvement_foundation
,free_rent_months,Rent Roll_freerentmonths
,front_set_back_distance,Zoning_Subrecords_frontsetbackdistance
,garage_parking_spaces,Improvement_garageparkingspaces
,garage_type,
,gba,
,gba_total,
,gba_total_meters,
,geo_code,
,geo_name,
,geo_type,
,geography_id,
,grantee,Sales_grantee
,grantee_buyer,
,grantor,Sales_grantor
,grantor_seller,
,gross_building_area,
,heating_id,Improvement_Subrecords_heatingid
,heating_type,Improvement_heating
,highest_and_best_use,Sales_highestandbestuse
,holding_period_years,Sales_holdingperiodyears
,home_site_acres,Sites_homesiteacres
,hotel_flag,Improvement_hotelflag
,hotel_room_rev_multiplier,Sales_hotelroomrevmultiplier
,id,Improvement_Subrecords_id
,implied_value,Assessment_impliedvalue
,improvement_assessment,Assessment_assessmentyear
,improvement_comments,Rent Roll_comments
,improvement_id,Parcel_id
,improvement_subrecords_condition,Improvement_Subrecords_condition
