Entities Name,Updated ERD Field Names,CoStar Source Fields,GreenST market data,Trepp Fields
,improvement_comments,,,
,gba_total_meters,,,
,ra_total_meters,,,
,parcel_id,,,
,id,,,
,perimeter_sf,,,
,multifamily_gba,,,
,office_gba,,,
,office_ra,,,
,retail_gba,,,
,retail_gla,,,
,industrial_gba,,,
,industrial_ra,,,
,other_gba,,,
,other_ra,,,
,gross_building_area,,,
,rentable_area,,,
,condition_id,,,
,quality_id,,,
,parking_type_id,,,
,parking_adequacy_id,,,
,parking_condition_id,,,
,foundation_id,,,
,exterior_wall_id,,,
,roof_cover_id,,,
,roof_type_id,,,
,cooling_id,,,
,heating_id,,,
,sprinklers_id,,,
,custom_fields,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
property_zoning,property_zoning_id,Zoning,,
,property_id,,,
,zoning_jurisdiction,,,
,zoning_code,,,
,minimum_lot_area,,,
,setback_distance,,,
,rear_yard_distance,,,
,ordinance_document,,,
,notes,,,
,id,,,
,zoning_id,,,
,zoning_authority,,,
,zoning_district,,,
,zoning_designation,,,
,zoning_type,,,
,zoning_summary,,,
,zoned_density,,,
,permitted_uses,,,
,max_site_coverage,,,
,min_lot_area,,,
,front_set_back_distance,,,
,side_yard_distance,,,
,back_yard_distance,,,
,max_build_height,,,
,parking_requirement,,,
,ordinance_document_url,,,
,zoning_notes,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
time_log,time_log_id,,,data_load_date
,user_id,,,data_update_date
,project_id,,,stmt_begin_date
,property_id,,,stmt_end_date
,session_start,,,stmt_file_date
,session_end,,,reporting_year
,duration_seconds,,,mr_occdt
,activity_description,,,calc_occdt
property_assessment,property_assessment_id,,,Real Estate Taxes
,property_id,,,
,taxing_authority,,,
,tax_id,,,
,assessment_year,,,
,land_assessment,,,
,improvement_assessment,,,
,other_assessment,,,
,total_assessment,,,
,tax_rate,,,
,base_taxes,,,
,special_assessments,,,
,total_taxes,,,
,equalization_ratio,,,
,implied_value,,,
,custom_fields,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
sale_comp,sale_comp_id,For Sale Price,Average Sale Price,Net Operating Income
,property_id,Cap Rate,Average Units Sold,Effective Gross Income
,potential_gross_income_multiplier,For Sale Price Per Unit,Cap Rate,Expense Ratio
,effective_gross_income_multiplier,For Sale Price Per SF,Cap Rate Transactions,Effective Potential Gross Income
,cap_rate,Interest Rate,Market Cap Rate,
,sale_date,Interest Rate Type,Market Sale Price Growth,
,transaction_type,Loan Type,Market Sale Price Index,
,id,Maturity Date,Market Sale Price Per Unit,
,is_active,Origination Amount,Median Cap Rate,
,is_deleted,Origination Date,Median Price/Bldg SF,
,is_excel_entry,,Median Price/Unit,
,is_confidential,,Sales Volume Transactions,
,actual_price,,Sold Units,
,ff_and_e_adjustment,,Total Sales Transactions,
,excess_land_adjustment,,Total Sales Volume,
,business_value_adjustment,,Transaction Sale Price/Unit,
,financing_terms_adjustment,,Asset Value,
,conditions_of_sale_adjustment,,Capital Value Index,
,expenditures_after_sale_adjustment,,,
,other_adjustment,,,
,price_adjustment,,,
,sale_price,,,
,price_per_sf,,,
,price_per_ra,,,
,price_per_unit,,,
,price_per_room,,,
,price_per_bedroom,,,
,price_per_bed,,,
,price_per_mf_room,,,
,price_per_mf_bedroom,,,
,price_per_land_sf,,,
,price_per_acre,,,
,price_per_land_unit,,,
,price_per_usable_acre,,,
,price_per_buildable_sf,,,
,price_per_primary_frontage,,,
,price_per_far,,,
,price_per_bay,,,
,price_per_space,,,
,price_per_gba_meters,,,
,price_per_ra_meters,,,
,price_per_land_sqm,,,
,price_per_land_hectares,,,
,grantor_seller,,,
,grantee_buyer,,,
,property_rights,,,
,financing_type,,,
,conditions_of_sale,,,
,current_use,,,
,property_included,,,
,days_on_market,,,
,recording_date,,,
,book_page_or_ref_doc,,,
,lender_name,,,
,buyer_type,,,
,proposed_use,,,
,highest_and_best_use,,,
,verification_source,,,
,verification_phone,,,
,verificationdate,,,
,data_source,,,
,sale_supporting_files,,,
,legal_description,,,
,finish_condition,,,
,appraisal_date,,,
,appraised_value,,,
,land_value_per_sf,,,
,land_value,,,
,improvement_value,,,
,improvement_value_per_sf,,,
,net_income_multiplier,,,
,hotel_room_rev_multiplier,,,
,tos_cap_rate,,,
,tos_egim,,,
,tos_noi,,,
,tos_occupancy_rate,,,
,tos_vacancy_rate,,,
,tos_price_per_rsf,,,
,tos_price_per_useable_acre_land,,,
,tos_price_per_useable_sf_land,,,
,tos_number_of_tenants,,,
,tos_tenancy_type,,,
,tos_weighted_avg_lease_term,,,
,tos_effective_age,,,
,discount_rate,,,
,expense_growth_rate,,,
,income_growth_rate,,,
,terminal_cap_rate,,,
,holding_period_years,,,
,income_growth,,,
,risk_profile,,,
,original_list_price,,,
,original_lp_percent_diff,,,
,current_list_price,,,
,current_lp_percent_diff,,,
,environmental_concerns,,,
,environmental_status,,,
,environmental_remarks,,,
,clean_up_costs,,,
,type_of_contamination,,,
,responsible_party,,,
,percent_diminution_in_value,,,
,diminution_source,,,
,percent_stigma,,,
,adjustment_comments,,,
,internal_comments,,,
,sale_notes,,,
,sale_comments,,,
,price_per_usable_land_sf,,,
,custom_fields,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
commercial_survey,commercial_survey_id,,Absorption %,stmt_occ_rate
