LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Unit Lease Summary_mftotalrentpermonth,,site_area_id
Unit Lease Summary_mfvacantunitscount,,site_comments
Unit Lease Summary_mfweightedavgrentpersfpermo,,site_dimensions
Unit Lease Summary_mfweightedavgrentpersfperyear,,site_drainage
Unit Lease Summary_mfweightedavgrentperunit,,site_id
Unit Lease Summary_projectamenities,,site_landscaping
Unit Lease Summary_projectstyle,,site_topography
Unit Lease Summary_shalcommunityfee,,site_utilities
Unit Lease Summary_shalentryfee,,site_views
Unit Lease Summary_shaloccupancypercentage,,site_visibility
Unit Lease Summary_shalsecondpersonfeemonthly,,size_sq_meters
Unit Lease Summary_shalunitcount,,sizem2
Unit Lease Summary_shcaretypecomments,,soil_type
Unit Lease Summary_shilcommunityfee,,source_system
Unit Lease Summary_shilentryfee,,south_boundary
Unit Lease Summary_shiloccupancypercentage,,space_finish
Unit Lease Summary_shilsecondpersonfeemonthly,,special_assessments
Unit Lease Summary_shilunitcount,,sprinkler_type
Unit Lease Summary_shmccommunityfee,,sprinklers_id
Unit Lease Summary_shmcentryfee,,square_feet
Unit Lease Summary_shmcoccupancypercentage,,state
Unit Lease Summary_shmcsecondpersonfeemonthly,,status
Unit Lease Summary_shmcunitcount,,storage_fee
Unit Lease Summary_shothercommunityfee,,student_teacher_ratio
Unit Lease Summary_shotherentryfee,,sub_type
Unit Lease Summary_shotheroccupancypercentage,,submarket
Unit Lease Summary_shothersecondpersonfeemonthly,,suite
Unit Lease Summary_shotherunitcount,,suite_number
Unit Lease Summary_shpayormedicaidpercentage,,supporting_files
Unit Lease Summary_SHPayorMedicarePercentage,,tax_id
Unit Lease Summary_shpayorotherpercentage,,tax_rate
Unit Lease Summary_shpayorprivatepaypercentage,,taxing_authority
Unit Lease Summary_shpayorvapercentage,,tenant
Unit Lease Summary_shsncommunityfee,,tenant_cam
Unit Lease Summary_shsnentryfee,,tenant_name
Unit Lease Summary_shsnoccupancypercentage,,tenant_parking
Unit Lease Summary_shsnsecondpersonfeemonthly,,tenant_profile
Unit Lease Summary_shsnunitcount,,terminal_cap_rate
Unit Lease Summary_storagefee,,tertiary_frontage_lf
Unit Lease Summary_totalmarketrent,,tertiary_frontage_st
Unit Lease Summary_UtilitiesPaidByOwner,,tertiary_traffic_count
Unit Lease Summary_vacancyrate,,tillable_acres
Unit Lease_affordabilitystatus,,time_log_id
Unit Lease_annualrentpersf,,timestamp
Unit Lease_baths,,topography
Unit Lease_bedrooms,,tos_cap_rate
Unit Lease_beds,,tos_effective_age
Unit Lease_category,,tos_egim
Unit Lease_communityfeemax,,tos_noi
Unit Lease_communityfeemin,,tos_number_of_tenants
Unit Lease_contractrentmax,,tos_occupancy_rate
Unit Lease_contractrentmin,,tos_price_per_rsf
Unit Lease_dailyrateperunit,,tos_price_per_useable_acre_land
Unit Lease_dailyrateperunitmax,,tos_price_per_useable_sf_land
Unit Lease_dailyrateperunitmin,,tos_tenancy_type
Unit Lease_entryfeemax,,tos_vacancy_rate
Unit Lease_entryfeemin,,tos_weighted_avg_lease_term
Unit Lease_floor,,tosweightedaverageleaseterm
Unit Lease_incometarget,,total_assessment
Unit Lease_lastrentincrease,,total_market_rent
Unit Lease_leaseexpiration,,total_taxes
Unit Lease_leasestart,,townshiprange
Unit Lease_lhtc,,traffic_count
Unit Lease_marketrentmax,,traffic_survey_date
Unit Lease_marketrentmin,,transaction_type
Unit Lease_marketrentmo,,type_of_contamination
Unit Lease_marketrentsf,,type_or_use_of_space
Unit Lease_MaxGrossLIHTCRestrictedRent,,unit_category
Unit Lease_monthlyordailyrent,,unit_count
Unit Lease_occupancytype,,unit_depth_ft
Unit Lease_rentincreasepercent,,unit_floor
Unit Lease_rentperm2,,unit_height_ft
Unit Lease_rentpermo,,unit_mix_id
Unit Lease_rentpersfpermo,,unit_sf
Unit Lease_rooms,,unit_type
Unit Lease_sfsizemax,,unit_width_ft
Unit Lease_sfsizemin,,unitdepth
Unit Lease_sizem2,,unitheight
Unit Lease_tenantprofile,,unitwidth
Unit Lease_unitcount,,updated_at
Unit Lease_unitdepth,,updated_by_user_id
Unit Lease_unitheight,,use_mix_id
Unit Lease_unitsf,,use_type
Unit Lease_unittype,,user_id
Unit Lease_unitwidth,,utilities
Unit Lease_utilityallowance,,utilities_paid_by_owner
Unit Lease_vacantunits,,utility_allowance
Zoning_comments,,vacancy_rate
Zoning_district,,vacant_units
Zoning_jurisdiction,,verification_date
Zoning_maxbuildheight,,verification_phone
Zoning_maxsitecoverage,,verification_source
Zoning_minimumlotarea,,views
Zoning_OrdinanceDocument,,visibility
Zoning_parkingrequirement,,waste_acres
Zoning_PermittedUses,,water_frontage
Zoning_rearyarddistance,,west_boundary
Zoning_setbackdistance,,wetland_acres
Zoning_sideyarddistance,,wetlands_type
Zoning_Subrecords_authority,,within_flood_plain
Zoning_Subrecords_backyarddistance,,withinfloodplainname
Zoning_Subrecords_comments,,woodland_acres
Zoning_Subrecords_district,,year_built_numeric
Zoning_Subrecords_frontsetbackdistance,,zip
Zoning_Subrecords_id,,zoned_density
Zoning_Subrecords_maxbuildheight,,zoning
Zoning_Subrecords_maxsitecoverage,,zoning_authority
Zoning_Subrecords_minlotarea,,zoning_code
Zoning_Subrecords_NA_jurisdiction,,zoning_designation
Zoning_Subrecords_ordinancedocument,,zoning_district
Zoning_Subrecords_permitteduses,,zoning_id
Zoning_Subrecords_sideyarddistance,,zoning_jurisdiction
Zoning_Subrecords_type,,zoning_notes
Zoning_Subrecords_zoneddensity,,zoning_subrecords_comments
Zoning_Subrecords_zoning,,zoning_subrecords_district
Zoning_Subrecords_Zoningid,,zoning_subrecords_summary
Zoning_summary,,zoning_subrecords_type
Zoning_type,,zoning_summary
Zoning_zoneddensity,,zoning_type
Zoning_zoningcode,,
