LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Improvement_landtobuildingratio,Parking Ratio,daily_rate_per_unit
Improvement_lhoccupancy,Parking Spaces/Unit,daily_rate_per_unit_max
Improvement_multifamilyamenities,Primary Agent Name,daily_rate_per_unit_min
Improvement_noofbathrooms,Primary Corridors,data_source
Improvement_noofbedrooms,Property Address,days_on_market
Improvement_noofbeds,Property Location,deferred_maintenance
Improvement_noofbuildings,Property Manager Address,demographics_survey_date
Improvement_noofelevators,Property Manager City State Zip,depth
Improvement_noofescalators,Property Manager Contact,design_appeal
Improvement_noofgolfholes,Property Manager Name,dimensions
Improvement_noofhalfbaths,Property Manager Phone,diminution_source
Improvement_noofmfbathrooms,Property Name,discount_rate
Improvement_noofmultifamilybedrooms,PropertyID,district_name
Improvement_noofmultifamilyrooms,PropertyType,comm_lease_survey_date
Improvement_noofmultifamilyunits,Proposed Land Use,district_url
Improvement_noofotherunits,RBA,districtspending
Improvement_noofrooms,Recorded Owner Address,drainage
Improvement_noofseats,Recorded Owner City State Zip,duration_seconds
Improvement_noofstories,Recorded Owner Contact,earthquake_hazard_risk
Improvement_noofunits,Recorded Owner Name,earthquake_zone_comments
Improvement_parking,Recorded Owner Phone,east_boundary
Improvement_parkingadequacy,Sale Company Address,eff_rent_per_mo
Improvement_parkingcomments,Sale Company City State Zip,eff_rent_per_year
Improvement_parkingcondition,Sale Company Contact,effective_age
Improvement_parkingratiogba,Sale Company Fax,effective_gross_income_multiplier
Improvement_parkingratiora,Sale Company Name,effective_rent_sf
Improvement_parkingratiora,Sale Company Phone,effective_rent_sf_mo
Improvement_parkingratiounit,Sales Company,effective_water_frontage
Improvement_parkingtype,Sales Contact,egim
Improvement_perimeter,Sales Contact Phone,encumbrance_or_easement
Improvement_porchordeck,Secondary Type,enrollment
Improvement_productsegment,Services,entry_fee_max
Improvement_proportionrenovated,Sewer,entry_fee_min
Improvement_quality,Sprinklers,environmental_concerns
Improvement_ramultifamily,Star Rating,environmental_issues
Improvement_ramultifamilymeters,State,environmental_remarks
Improvement_raother,Studio Asking Rent/Bed,environmental_status
Improvement_raothermeters,Studio Asking Rent/SF,equalization_ratio
Improvement_ratotal,Studio Asking Rent/Unit,escalations
Improvement_ratotalmeters,Studio Avg SF,excess_land_adjustment
Improvement_remainingeconomiclife,Studio Concessions %,expenditures_after_sale_adjustment
Improvement_renovations,Studio Effective Rent/Bed,expense_growth_rate
Improvement_residentialamenities,Studio Effective Rent/SF,expense_reimbursements
Improvement_residentialdesign,Studio Effective Rent/Unit,expense_stop
Improvement_revpar,Studio Vacancy %,exterior_wall
Improvement_roofcover,Studio Vacant Units,exterior_wall_id
Improvement_rooftype,Style,far
Improvement_sourceforsfarea,Subcontinent,features
Improvement_sprinklers,Submarket Cluster,fema_map_date
Improvement_Subrecords_basementsize,Submarket Name,ff_and_e
Improvement_Subrecords_basementuseandfinish,Tax Year,ff_and_e_adjustment
Improvement_Subrecords_ceilingheight,Taxes Per SF,field_changed
Improvement_Subrecords_clearheight,Taxes Total,field_name
Improvement_Subrecords_columnspacing,Three Bedroom Asking Rent/Bed,construction_class
Improvement_Subrecords_condition,Three Bedroom Asking Rent/SF,current_list_price
Improvement_Subrecords_conditionid,Three Bedroom Asking Rent/Unit,field_value
Improvement_Subrecords_construction,Three Bedroom Avg SF,financing
Improvement_Subrecords_constructionclass,Three Bedroom Concessions %,financing_terms_adjustment
Improvement_Subrecords_cooling,Three Bedroom Effective Rent/Bed,financing_type
Improvement_Subrecords_coolingid,Three Bedroom Effective Rent/SF,finish
Improvement_Subrecords_deferredmaintance,Three Bedroom Effective Rent/Unit,finish_condition
Improvement_Subrecords_designappeal,Three Bedroom Vacancy %,fireplace_or_woodstove
Improvement_Subrecords_docks,Three Bedroom Vacant Units,flood_map_panel
Improvement_Subrecords_effectiveage,Total Buildings,flood_zone
Improvement_Subrecords_exteriorwall,True Owner Address,floor
Improvement_Subrecords_exteriorwallid,True Owner City State Zip,floor_area_ratio
Improvement_Subrecords_ffande,True Owner Contact,floor_level
Improvement_Subrecords_fireplaceorwoodstove,True Owner Name,foundation_id
Improvement_Subrecords_foundation,True Owner Phone,foundation_type
Improvement_Subrecords_foundationid,Two Bedroom Asking Rent/Bed,free_rent_months
Improvement_Subrecords_garage,Two Bedroom Asking Rent/SF,front_set_back_distance
Improvement_Subrecords_gbamultifamilymeters,Two Bedroom Asking Rent/Unit,garage_parking_spaces
Improvement_Subrecords_gbaothermeters,Two Bedroom Avg SF,garage_type
Improvement_Subrecords_gbatotalmeters,Two Bedroom Concessions %,gba
Improvement_Subrecords_heating,Two Bedroom Effective Rent/Bed,gba_total
Improvement_Subrecords_heatingid,Two Bedroom Effective Rent/SF,gba_total_meters
Improvement_Subrecords_id,Two Bedroom Effective Rent/Unit,geo_code
Improvement_Subrecords_landscaping,Two Bedroom Vacancy %,geo_name
Improvement_Subrecords_multifamilyamenities,Two Bedroom Vacant Units,geo_type
Improvement_Subrecords_multifamilygba,Typical Floor Size,geography_id
Improvement_Subrecords_NA_parcelId,University,grantee
Improvement_Subrecords_NA_ramultifamily,Water,grantee_buyer
Improvement_Subrecords_noofbathrooms,Year Built,grantor
Improvement_Subrecords_noofbedrooms,Year Renovated,grantor_seller
Improvement_Subrecords_noofbeds,Zip,gross_building_area
Improvement_Subrecords_noofelevators,Zoning,heating_id
Improvement_Subrecords_noofescalators,,heating_type
Improvement_Subrecords_noofgolfholes,,highest_and_best_use
Improvement_Subrecords_noofhalfbaths,,holding_period_years
Improvement_Subrecords_noofindustrialunits,,home_site_acres
Improvement_Subrecords_noofofficeunits,,hotel_flag
Improvement_Subrecords_noofotherunits,,hotel_room_rev_multiplier
Improvement_Subrecords_noofretailunits,,id
Improvement_Subrecords_noofrooms,,implied_value
Improvement_Subrecords_noofseats,,improvement_assessment
Improvement_Subrecords_noofstories,,improvement_comments
Improvement_Subrecords_nooftruckdoors,,improvement_id
Improvement_Subrecords_nooftruckdoorswithlevelers,,improvement_subrecords_condition
